date,game_pk,away_team,home_team,market_nrfi_odds,market_yrfi_odds,sportsbook,start_time_utc
2026-09-11,,BAL,TOR,-135,+105,DraftKings,2026-09-11T23:07:00.0000000Z
2026-09-11,,CIN,MIL,-125,-105,DraftKings,2026-09-11T23:45:00.0000000Z
2026-09-11,,CLE,MIN,-145,+110,DraftKings,2026-09-12T00:10:00.0000000Z
2026-09-11,,COL,DET,-130,+100,DraftKings,2026-09-11T22:40:00.0000000Z
2026-09-11,,CWS,STL,-125,-105,DraftKings,2026-09-12T00:15:00.0000000Z
2026-09-11,,HOU,TB,-125,-105,DraftKings,2026-09-11T23:10:00.0000000Z
2026-09-11,,KC,BOS,-105,-120,DraftKings,2026-09-11T23:10:00.0000000Z
2026-09-11,,LAA,WSH,-130,+100,DraftKings,2026-09-11T22:45:00.0000000Z
2026-09-11,,NYM,NYY,-120,-110,DraftKings,2026-09-11T23:05:00.0000000Z
2026-09-11,,PHI,ATL,-140,+105,DraftKings,2026-09-11T23:15:00.0000000Z
2026-09-11,,PIT,CHC,-115,-110,DraftKings,2026-09-11T18:25:00.0000000Z
2026-09-11,,SD,SF,-125,-105,DraftKings,2026-09-12T02:15:00.0000000Z
2026-09-11,,SEA,OAK,+115,-150,DraftKings,2026-09-12T01:40:00.0000000Z
