date,game_pk,away_team,home_team,market_nrfi_odds,market_yrfi_odds,sportsbook,start_time_utc
2026-09-10,,COL,NYY,-125,-105,DraftKings,2026-09-10T23:10:00.0000000Z
2026-09-10,,HOU,PHI,+100,-130,DraftKings,2026-09-10T17:10:00.0000000Z
2026-09-10,,PIT,CWS,-160,+125,DraftKings,2026-09-10T23:40:00.0000000Z
2026-09-10,,TB,ATL,-105,-125,DraftKings,2026-09-10T16:15:00.0000000Z
2026-09-10,,TEX,SEA,-160,+125,DraftKings,2026-09-10T20:10:00.0000000Z
2026-09-11,,BAL,TOR,-115,-115,DraftKings,2026-09-11T23:07:00.0000000Z
2026-09-11,,CIN,MIL,-130,+100,DraftKings,2026-09-11T23:45:00.0000000Z
2026-09-11,,CLE,MIN,-140,+110,DraftKings,2026-09-12T00:10:00.0000000Z
2026-09-11,,COL,DET,-125,+100,DraftKings,2026-09-11T22:40:00.0000000Z
2026-09-11,,CWS,STL,-115,-110,DraftKings,2026-09-12T00:15:00.0000000Z
2026-09-11,,HOU,TB,-120,-110,DraftKings,2026-09-11T23:10:00.0000000Z
2026-09-11,,KC,BOS,-120,-110,DraftKings,2026-09-11T23:10:00.0000000Z
2026-09-11,,LAA,WSH,-120,-110,DraftKings,2026-09-11T22:45:00.0000000Z
2026-09-11,,NYM,NYY,-120,-105,DraftKings,2026-09-11T23:05:00.0000000Z
2026-09-11,,PHI,ATL,-120,-105,DraftKings,2026-09-11T23:15:00.0000000Z
2026-09-11,,SD,SF,-130,+100,DraftKings,2026-09-12T02:15:00.0000000Z
2026-09-11,,SEA,OAK,+105,-135,DraftKings,2026-09-12T01:40:00.0000000Z
