date,game_pk,away_team,home_team,market_nrfi_odds,market_yrfi_odds,sportsbook
2026-04-30,,KC,OAK,+100,-130,DraftKings
2026-04-30,,HOU,BAL,-115,-115,DraftKings
2026-04-30,,SF,PHI,-135,+105,DraftKings
2026-04-30,,TOR,MIN,-135,+105,DraftKings
