date,game_pk,away_team,home_team,market_nrfi_odds,market_yrfi_odds,sportsbook,start_time_utc
2026-05-04,,ATL,SEA,-130,+100,DraftKings,2026-05-05T01:40:00.0000000Z
2026-05-04,,BAL,NYY,-120,-110,DraftKings,2026-05-04T23:05:00.0000000Z
2026-05-04,,BOS,DET,-135,+100,DraftKings,2026-05-04T22:10:00.0000000Z
2026-05-04,,CIN,CHC,+115,-150,DraftKings,2026-05-04T23:10:00.0000000Z
2026-05-04,,CLE,KC,-120,-110,DraftKings,2026-05-04T23:40:00.0000000Z
2026-05-04,,CWS,LAA,-140,+105,DraftKings,2026-05-05T01:38:00.0000000Z
2026-05-04,,LAD,HOU,-125,-105,DraftKings,2026-05-05T00:10:00.0000000Z
2026-05-04,,MIL,STL,-110,-120,DraftKings,2026-05-04T23:45:00.0000000Z
2026-05-04,,PHI,MIA,-115,-115,DraftKings,2026-05-04T22:40:00.0000000Z
2026-05-04,,SD,SF,-140,+105,DraftKings,2026-05-05T01:45:00.0000000Z
2026-05-04,,TOR,TB,-120,-110,DraftKings,2026-05-04T22:40:00.0000000Z
