date,game_pk,away_team,home_team,market_nrfi_odds,market_yrfi_odds,sportsbook,start_time_utc
2026-09-07,,ARI,KC,+100,-130,DraftKings,2026-09-07T18:10:00.0000000Z
2026-09-07,,ATL,PHI,-125,-105,DraftKings,2026-09-07T17:05:00.0000000Z
2026-09-07,,CHC,MIL,-115,-115,DraftKings,2026-09-07T18:10:00.0000000Z
2026-09-07,,CIN,LAD,-120,-110,DraftKings,2026-09-08T01:10:00.0000000Z
2026-09-07,,CLE,BAL,-135,+100,DraftKings,2026-09-07T17:35:00.0000000Z
2026-09-07,,LAA,BOS,-110,-115,DraftKings,2026-09-07T17:35:00.0000000Z
2026-09-07,,MIN,DET,-130,+100,DraftKings,2026-09-07T19:10:00.0000000Z
2026-09-07,,NYM,MIA,-115,-110,DraftKings,2026-09-07T17:10:00.0000000Z
2026-09-07,,STL,SF,-120,-110,DraftKings,2026-09-08T00:10:00.0000000Z
2026-09-07,,TOR,OAK,-155,+120,DraftKings,2026-09-08T02:05:00.0000000Z
2026-09-07,,WSH,SD,-125,-105,DraftKings,2026-09-07T21:10:00.0000000Z
