date,game_pk,away_team,home_team,market_nrfi_odds,market_yrfi_odds,sportsbook,start_time_utc
2026-09-15,,ATL,CHC,-105,-120,DraftKings,2026-09-15T23:40:00.0000000Z
2026-09-15,,BAL,NYM,-120,-110,DraftKings,2026-09-15T23:10:00.0000000Z
2026-09-15,,BOS,TEX,-135,+100,DraftKings,2026-09-16T00:05:00.0000000Z
2026-09-15,,CWS,CLE,-105,-120,DraftKings,2026-09-15T22:40:00.0000000Z
2026-09-15,,DET,TOR,-115,-115,DraftKings,2026-09-15T23:07:00.0000000Z
2026-09-15,,KC,HOU,-115,-115,DraftKings,2026-09-16T00:10:00.0000000Z
2026-09-15,,LAD,CIN,-125,-105,DraftKings,2026-09-15T22:40:00.0000000Z
2026-09-15,,MIA,ARI,-105,-120,DraftKings,2026-09-16T01:40:00.0000000Z
2026-09-15,,MIL,PIT,-150,+115,DraftKings,2026-09-15T22:40:00.0000000Z
2026-09-15,,NYY,MIN,-120,-110,DraftKings,2026-09-15T23:40:00.0000000Z
2026-09-15,,OAK,TB,-125,-105,DraftKings,2026-09-15T22:40:00.0000000Z
2026-09-15,,PHI,WSH,-120,-105,DraftKings,2026-09-15T22:45:00.0000000Z
2026-09-15,,SD,COL,+120,-155,DraftKings,2026-09-16T00:40:00.0000000Z
2026-09-15,,SEA,LAA,-130,+100,DraftKings,2026-09-16T01:38:00.0000000Z
2026-09-15,,SF,STL,-115,-115,DraftKings,2026-09-15T23:45:00.0000000Z
