date,game_pk,away_team,home_team,market_nrfi_odds,market_yrfi_odds,sportsbook,start_time_utc
2026-09-08,,ARI,KC,+100,-130,DraftKings,2026-09-08T23:40:00.0000000Z
2026-09-08,,CHC,MIL,-150,+115,DraftKings,2026-09-08T23:40:00.0000000Z
2026-09-08,,CIN,LAD,-120,-105,DraftKings,2026-09-09T02:10:00.0000000Z
2026-09-08,,CLE,BAL,-120,-110,DraftKings,2026-09-08T22:35:00.0000000Z
2026-09-08,,COL,NYY,-120,-110,DraftKings,2026-09-08T23:05:00.0000000Z
2026-09-08,,HOU,PHI,-105,-125,DraftKings,2026-09-08T22:40:00.0000000Z
2026-09-08,,LAA,BOS,-130,+100,DraftKings,2026-09-08T22:45:00.0000000Z
2026-09-08,,MIN,DET,-120,-105,DraftKings,2026-09-08T22:40:00.0000000Z
2026-09-08,,NYM,MIA,-115,-115,DraftKings,2026-09-08T22:40:00.0000000Z
2026-09-08,,PIT,CWS,-125,-105,DraftKings,2026-09-08T23:40:00.0000000Z
2026-09-08,,STL,SF,-140,+105,DraftKings,2026-09-09T01:45:00.0000000Z
2026-09-08,,TB,ATL,+100,-130,DraftKings,2026-09-08T23:15:00.0000000Z
2026-09-08,,TEX,SEA,-120,-110,DraftKings,2026-09-09T01:40:00.0000000Z
2026-09-08,,TOR,OAK,-110,-120,DraftKings,2026-09-09T01:40:00.0000000Z
2026-09-08,,WSH,SD,-130,+100,DraftKings,2026-09-09T01:40:00.0000000Z
