date,game_pk,away_team,home_team,market_nrfi_odds,market_yrfi_odds,sportsbook,start_time_utc
2026-09-13,,BAL,TOR,-150,+115,DraftKings,2026-09-13T17:37:00.0000000Z
2026-09-13,,CIN,MIL,-135,+105,DraftKings,2026-09-13T18:10:00.0000000Z
2026-09-13,,COL,DET,-115,-110,DraftKings,2026-09-13T16:10:00.0000000Z
2026-09-13,,HOU,TB,-120,-110,DraftKings,2026-09-13T17:40:00.0000000Z
2026-09-13,,KC,BOS,-140,+105,DraftKings,2026-09-13T19:05:00.0000000Z
2026-09-13,,LAA,WSH,+105,-135,DraftKings,2026-09-13T17:35:00.0000000Z
2026-09-13,,LAD,MIA,-125,-105,DraftKings,2026-09-13T17:40:00.0000000Z
2026-09-13,,NYM,NYY,-125,-105,DraftKings,2026-09-13T17:35:00.0000000Z
2026-09-13,,PHI,ATL,+105,-135,DraftKings,2026-09-13T17:35:00.0000000Z
2026-09-13,,PIT,CHC,-160,+120,DraftKings,2026-09-13T18:20:00.0000000Z
2026-09-13,,SD,SF,-145,+110,DraftKings,2026-09-13T23:20:00.0000000Z
2026-09-13,,SEA,OAK,-115,-115,DraftKings,2026-09-13T20:05:00.0000000Z
2026-09-13,,TEX,ARI,-130,+100,DraftKings,2026-09-13T20:10:00.0000000Z
