date,game_pk,away_team,home_team,market_nrfi_odds,market_yrfi_odds,sportsbook,start_time_utc
2026-09-09,,ARI,KC,-105,-125,DraftKings,2026-09-09T23:40:00.0000000Z
2026-09-09,,CHC,MIL,-135,+105,DraftKings,2026-09-09T23:40:00.0000000Z
2026-09-09,,CIN,LAD,-110,-120,DraftKings,2026-09-10T02:10:00.0000000Z
2026-09-09,,CLE,BAL,-115,-110,DraftKings,2026-09-09T22:35:00.0000000Z
2026-09-09,,COL,NYY,-110,-120,DraftKings,2026-09-09T23:05:00.0000000Z
2026-09-09,,HOU,PHI,-115,-115,DraftKings,2026-09-09T22:40:00.0000000Z
2026-09-09,,LAA,BOS,+100,-130,DraftKings,2026-09-09T22:45:00.0000000Z
2026-09-09,,MIN,DET,-115,-115,DraftKings,2026-09-09T17:10:00.0000000Z
2026-09-09,,NYM,MIA,+100,-125,DraftKings,2026-09-09T22:40:00.0000000Z
2026-09-09,,PIT,CWS,-125,-105,DraftKings,2026-09-09T23:40:00.0000000Z
2026-09-09,,STL,SF,-120,-110,DraftKings,2026-09-09T19:45:00.0000000Z
2026-09-09,,TB,ATL,-110,-120,DraftKings,2026-09-09T23:15:00.0000000Z
2026-09-09,,TEX,SEA,-130,+100,DraftKings,2026-09-09T20:10:00.0000000Z
2026-09-09,,WSH,SD,-105,-125,DraftKings,2026-09-09T20:10:00.0000000Z
