date,game_pk,away_team,home_team,market_nrfi_odds,market_yrfi_odds,sportsbook,start_time_utc
2026-09-12,,BAL,TOR,-120,-110,DraftKings,2026-09-12T19:07:00.0000000Z
2026-09-12,,CIN,MIL,-120,-110,DraftKings,2026-09-12T23:10:00.0000000Z
2026-09-12,,CLE,MIN,-105,-125,DraftKings,2026-09-12T20:10:00.0000000Z
2026-09-12,,COL,DET,-110,-115,DraftKings,2026-09-12T17:10:00.0000000Z
2026-09-12,,HOU,TB,-125,-105,DraftKings,2026-09-12T22:10:00.0000000Z
2026-09-12,,KC,BOS,-115,-110,DraftKings,2026-09-12T20:10:00.0000000Z
2026-09-12,,LAA,WSH,-120,-110,DraftKings,2026-09-12T20:05:00.0000000Z
2026-09-12,,LAD,MIA,-130,+100,DraftKings,2026-09-12T20:10:00.0000000Z
2026-09-12,,NYM,NYY,-110,-115,DraftKings,2026-09-12T17:35:00.0000000Z
2026-09-12,,PHI,ATL,-140,+105,DraftKings,2026-09-12T23:15:00.0000000Z
2026-09-12,,PIT,CHC,-115,-115,DraftKings,2026-09-12T18:20:00.0000000Z
2026-09-12,,SD,SF,-120,-110,DraftKings,2026-09-12T20:05:00.0000000Z
2026-09-12,,SEA,OAK,-115,-115,DraftKings,2026-09-13T01:40:00.0000000Z
2026-09-12,,TEX,ARI,-110,-120,DraftKings,2026-09-13T00:10:00.0000000Z
