date,game_pk,away_team,home_team,market_nrfi_odds,market_yrfi_odds,sportsbook
2026-04-29,,CHC,SD,-120,-105,DraftKings
2026-04-29,,SF,PHI,-150,+115,DraftKings
2026-04-29,,COL,CIN,+105,-135,DraftKings
2026-04-29,,STL,PIT,-115,-115,DraftKings
2026-04-29,,WSH,NYM,-145,+110,DraftKings
2026-04-29,,DET,ATL,-140,+110,DraftKings
2026-04-29,,ARI,MIL,-120,-105,DraftKings
2026-04-29,,KC,OAK,+105,-135,DraftKings
