date,game_pk,away_team,home_team,market_nrfi_odds,market_yrfi_odds,sportsbook,start_time_utc
2026-09-06,,ARI,HOU,-125,-105,DraftKings,2026-09-06T18:10:00.0000000Z
2026-09-06,,ATL,PHI,-110,-115,DraftKings,2026-09-06T17:12:00.0000000Z
2026-09-06,,BOS,BAL,-140,+105,DraftKings,2026-09-06T17:35:00.0000000Z
2026-09-06,,CHC,MIA,-125,-105,DraftKings,2026-09-06T17:40:00.0000000Z
2026-09-06,,DET,CLE,-160,+120,DraftKings,2026-09-06T17:45:00.0000000Z
2026-09-06,,LAA,PIT,-150,+115,DraftKings,2026-09-06T17:40:00.0000000Z
2026-09-06,,MIL,CIN,-115,-115,DraftKings,2026-09-06T16:13:00.0000000Z
2026-09-06,,MIN,CWS,-120,-105,DraftKings,2026-09-06T22:20:00.0000000Z
2026-09-06,,NYY,SD,-150,+115,DraftKings,2026-09-06T20:15:00.0000000Z
2026-09-06,,OAK,SEA,-145,+110,DraftKings,2026-09-06T20:10:00.0000000Z
2026-09-06,,SF,NYM,-125,-105,DraftKings,2026-09-06T17:45:00.0000000Z
2026-09-06,,STL,COL,+110,-145,DraftKings,2026-09-06T19:15:00.0000000Z
2026-09-06,,TB,TEX,-125,-105,DraftKings,2026-09-06T18:35:00.0000000Z
2026-09-06,,TOR,KC,+105,-140,DraftKings,2026-09-06T18:10:00.0000000Z
2026-09-06,,WSH,LAD,-115,-115,DraftKings,2026-09-07T02:10:00.0000000Z
2026-09-07,,ATL,PHI,-105,-125,DraftKings,2026-09-07T17:05:00.0000000Z
2026-09-07,,CHC,MIL,-115,-115,DraftKings,2026-09-07T18:10:00.0000000Z
2026-09-07,,CIN,LAD,-115,-115,DraftKings,2026-09-08T01:10:00.0000000Z
2026-09-07,,CLE,BAL,-125,-105,DraftKings,2026-09-07T17:35:00.0000000Z
2026-09-07,,LAA,BOS,-110,-120,DraftKings,2026-09-07T17:35:00.0000000Z
2026-09-07,,NYM,MIA,-130,+100,DraftKings,2026-09-07T17:10:00.0000000Z
2026-09-07,,STL,SF,-125,-105,DraftKings,2026-09-08T00:10:00.0000000Z
2026-09-07,,TOR,OAK,-145,+110,DraftKings,2026-09-08T02:05:00.0000000Z
2026-09-07,,WSH,SD,-120,-110,DraftKings,2026-09-07T21:10:00.0000000Z
