date,game_pk,away_team,home_team,market_nrfi_odds,market_yrfi_odds,sportsbook,start_time_utc
2026-09-14,,ATL,CHC,-105,-125,DraftKings,2026-09-14T23:40:00.0000000Z
2026-09-14,,BAL,NYM,-115,-110,DraftKings,2026-09-14T23:15:00.0000000Z
2026-09-14,,CWS,CLE,-165,+130,DraftKings,2026-09-14T22:40:00.0000000Z
2026-09-14,,DET,TOR,-140,+110,DraftKings,2026-09-14T23:07:00.0000000Z
2026-09-14,,LAD,CIN,-150,+115,DraftKings,2026-09-14T22:42:00.0000000Z
2026-09-14,,MIA,ARI,-120,-110,DraftKings,2026-09-15T01:40:00.0000000Z
2026-09-14,,NYY,MIN,-115,-115,DraftKings,2026-09-14T23:40:00.0000000Z
2026-09-14,,SD,COL,+120,-155,DraftKings,2026-09-15T00:40:00.0000000Z
2026-09-14,,SEA,LAA,-140,+110,DraftKings,2026-09-15T01:38:00.0000000Z
2026-09-14,,SF,STL,-135,+105,DraftKings,2026-09-14T23:45:00.0000000Z
