date,game_pk,away_team,home_team,market_nrfi_odds,market_yrfi_odds,sportsbook,start_time_utc
2026-05-02,,ARI,CHC,-155,+120,DraftKings,2026-05-02T18:20:00.0000000Z
2026-05-02,,ATL,COL,-120,-110,DraftKings,2026-05-03T00:10:00.0000000Z
2026-05-02,,BAL,NYY,-115,-110,DraftKings,2026-05-02T17:35:00.0000000Z
2026-05-02,,CIN,PIT,-120,-105,DraftKings,2026-05-02T20:05:00.0000000Z
2026-05-02,,CLE,OAK,+125,-160,DraftKings,2026-05-02T20:05:00.0000000Z
2026-05-02,,CWS,SD,-120,-110,DraftKings,2026-05-03T00:40:00.0000000Z
2026-05-02,,HOU,BOS,-110,-120,DraftKings,2026-05-02T20:10:00.0000000Z
2026-05-02,,KC,SEA,-130,+100,DraftKings,2026-05-03T01:40:00.0000000Z
2026-05-02,,LAD,STL,-105,-120,DraftKings,2026-05-02T23:15:00.0000000Z
2026-05-02,,MIL,WSH,-145,+115,DraftKings,2026-05-02T20:05:00.0000000Z
2026-05-02,,NYM,LAA,-140,+110,DraftKings,2026-05-03T01:38:00.0000000Z
2026-05-02,,PHI,MIA,-120,-110,DraftKings,2026-05-02T20:10:00.0000000Z
2026-05-02,,SF,TB,-160,+120,DraftKings,2026-05-02T22:10:00.0000000Z
2026-05-02,,TEX,DET,-130,+100,DraftKings,2026-05-02T23:15:00.0000000Z
2026-05-02,,TOR,MIN,-135,+105,DraftKings,2026-05-02T18:10:00.0000000Z
