date,game_pk,away_team,home_team,market_nrfi_odds,market_yrfi_odds,sportsbook,start_time_utc
2026-05-03,,ARI,CHC,+105,-135,DraftKings,2026-05-03T18:20:00.0000000Z
2026-05-03,,ATL,COL,-105,-125,DraftKings,2026-05-03T19:10:00.0000000Z
2026-05-03,,BAL,NYY,-125,-105,DraftKings,2026-05-03T17:35:00.0000000Z
2026-05-03,,CIN,PIT,-150,+115,DraftKings,2026-05-03T17:35:00.0000000Z
2026-05-03,,CLE,OAK,-120,-110,DraftKings,2026-05-03T20:05:00.0000000Z
2026-05-03,,CWS,SD,-115,-115,DraftKings,2026-05-03T20:10:00.0000000Z
2026-05-03,,HOU,BOS,-110,-115,DraftKings,2026-05-03T17:35:00.0000000Z
2026-05-03,,KC,SEA,-140,+105,DraftKings,2026-05-03T20:10:00.0000000Z
2026-05-03,,LAD,STL,-105,-125,DraftKings,2026-05-03T18:15:00.0000000Z
2026-05-03,,MIL,WSH,-125,-105,DraftKings,2026-05-03T17:35:00.0000000Z
2026-05-03,,NYM,LAA,-125,-105,DraftKings,2026-05-03T20:07:00.0000000Z
2026-05-03,,PHI,MIA,-135,+105,DraftKings,2026-05-03T17:40:00.0000000Z
2026-05-03,,SF,TB,-135,+105,DraftKings,2026-05-03T17:40:00.0000000Z
2026-05-03,,TEX,DET,-145,+110,DraftKings,2026-05-03T23:20:00.0000000Z
2026-05-03,,TOR,MIN,-140,+105,DraftKings,2026-05-03T16:35:00.0000000Z
