rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,DET,BAL,1.2362,PASS,LOW LAMBDA,PASS,44.2,55.8,824842,1,N,7:15 PM ET
2,STL,CIN,1.2008,PASS,LINEUP PENDING,PASS,47.7,52.3,824518,1,N,6:40 PM ET
3,HOU,CHC,1.1874,PASS,NO EDGE,PASS,49.0,51.0,824679,1,N,2:20 PM ET
4,WSH,ATL,1.0950,PASS,LOW LAMBDA,PASS,43.5,56.5,824922,1,N,7:15 PM ET
5,OAK,SD,1.0293,PASS,NO EDGE,PASS,45.9,54.1,823298,1,N,9:40 PM ET
6,COL,ARI,1.0544,PASS,NO EDGE,PASS,43.5,56.5,825082,1,N,9:40 PM ET
7,TB,NYY,0.9759,PASS,NO DATA,PASS,39.0,61.0,823546,1,N,7:05 PM ET
8,MIN,BOS,0.9542,PASS,NO EDGE,PASS,49.0,51.0,824761,1,N,7:10 PM ET
9,PIT,TOR,1.0052,NRFI,STRONG,STRONG NRFI,59.7,40.3,822816,1,N,7:07 PM ET
10,TEX,LAA,0.9179,PASS,LOW LAMBDA,PASS,43.5,56.5,824029,1,N,9:38 PM ET
11,NYM,MIA,0.9743,PASS,NO EDGE,PASS,47.7,52.3,823863,1,N,7:10 PM ET
12,LAD,MIL,0.9294,NRFI,STRONG,STRONG NRFI,59.1,40.9,823788,1,N,7:40 PM ET
13,SEA,KC,0.9141,NRFI,STRONG,STRONG NRFI,57.6,42.4,824110,1,N,7:40 PM ET
14,CLE,PHI,0.8772,PASS,NO EDGE,PASS,49.0,51.0,823461,1,N,6:40 PM ET
15,CWS,SF,0.7697,PASS,NO EDGE,PASS,45.8,54.2,823223,1,N,10:15 PM ET
