cut,ntr,nte,model,depth,n,units,roi,hit,be,edge_pp
2026-05-20,254,874,A_shipped_p,0.05,44,-7.561882238801038,-17.186095997275086,47.72727272727273,58.014860370309776,-10.28758764303705
2026-05-20,254,874,A_shipped_p,0.1,87,-13.16536400196022,-15.1326023011037,48.275862068965516,56.946597076902286,-8.67073500793677
2026-05-20,254,874,A_shipped_p,0.2,175,-35.11669639374577,-20.06668365356901,45.14285714285714,56.214056808028886,-11.071199665171747
2026-05-20,254,874,A_shipped_p,0.3,262,-48.969251897474074,-18.69055415934125,45.41984732824427,55.602465870937436,-10.182618542693163
2026-05-20,254,874,A_shipped_p,0.5,437,-54.06425585308885,-12.371683261576397,48.51258581235698,55.23260857591604,-6.720022763559058
2026-05-20,254,874,B_shipped_EV,0.05,44,-15.240109890109892,-34.63661338661339,34.090909090909086,52.028659781450834,-17.937750690541748
2026-05-20,254,874,B_shipped_EV,0.1,87,-23.136561988735906,-26.593749412340124,37.93103448275862,51.67834813963456,-13.747313656875939
2026-05-20,254,874,B_shipped_EV,0.2,175,-35.450569206344944,-20.257468117911397,42.285714285714285,53.09291155616764,-10.807197270453358
2026-05-20,254,874,B_shipped_EV,0.3,262,-48.7058569436453,-18.590021734215764,43.51145038167939,53.51712504196027,-10.005674660280881
2026-05-20,254,874,B_shipped_EV,0.5,437,-56.85553945283597,-13.01042092742242,46.453089244851256,53.41674616912635,-6.963656924275092
2026-05-20,254,874,C_bookEV,0.05,44,1.9504776832363038,4.432903825537053,54.54545454545454,52.874342317864944,1.671112227589596
2026-05-20,254,874,C_bookEV,0.1,87,-10.615116143227088,-12.201282923249526,45.97701149425287,52.717722884255494,-6.740711390002623
2026-05-20,254,874,C_bookEV,0.2,175,-15.181788560986462,-8.67530774913512,49.142857142857146,53.29723920827744,-4.154382065420293
2026-05-20,254,874,C_bookEV,0.3,262,-12.513389516780968,-4.776102869000369,50.76335877862596,52.8792588210847,-2.1159000424587404
2026-05-20,254,874,C_bookEV,0.5,437,-51.91135928894429,-11.879029585570775,46.910755148741416,52.87024738950974,-5.959492240768327
2026-05-20,254,874,D_refit_outcome,0.05,44,-5.5250705815923205,-12.556978594528001,43.18181818181818,47.96771521673802,-4.7858970349198415
2026-05-20,254,874,D_refit_outcome,0.1,87,-4.802856563726128,-5.520524785892102,47.12643678160919,49.26286360056076,-2.13642681895157
2026-05-20,254,874,D_refit_outcome,0.2,175,-23.88194577092628,-13.646826154815017,44.0,50.54171161167962,-6.541711611679617
2026-05-20,254,874,D_refit_outcome,0.3,262,-36.1300184905882,-13.790083393354275,44.274809160305345,51.05614852194188,-6.781339361636533
2026-05-20,254,874,D_refit_outcome,0.5,437,-37.80589061194323,-8.65123354964376,47.82608695652174,51.91651103092987,-4.090424074408126
2026-05-20,254,874,E_outcome+price,0.05,44,-5.166581968755882,-11.74223174717246,40.909090909090914,45.17642784082448,-4.267336931733567
2026-05-20,254,874,E_outcome+price,0.1,87,-8.3364577451534,-9.58213533925678,43.67816091954023,47.334975786368524,-3.6568148668282916
2026-05-20,254,874,E_outcome+price,0.2,175,-22.85736437475568,-13.061351071288959,42.857142857142854,49.07519838934148,-6.218055532198626
2026-05-20,254,874,E_outcome+price,0.3,262,-38.453694131955004,-14.676982493112597,42.74809160305343,49.98657146259909,-7.238479859545656
2026-05-20,254,874,E_outcome+price,0.5,437,-47.95096897526409,-10.972761779236635,45.766590389016024,51.17291891389522,-5.406328524879193
2026-05-20,254,874,F_payout_weighted,0.05,44,-9.577451533973273,-21.76693530448471,38.63636363636363,47.66123738808724,-9.024873751723604
2026-05-20,254,874,F_payout_weighted,0.1,87,-8.672421781117436,-9.968300897836132,44.827586206896555,48.93791487401266,-4.110328667116107
2026-05-20,254,874,F_payout_weighted,0.2,175,-19.2980559697951,-11.027460554168629,45.14285714285714,50.27965690740215,-5.13679976454501
2026-05-20,254,874,F_payout_weighted,0.3,262,-30.922057932627645,-11.802312188025818,45.038167938931295,50.71845128758976,-5.680283348658463
2026-05-20,254,874,F_payout_weighted,0.5,437,-41.33121948025948,-9.457944961157775,47.139588100686495,51.636984684189414,-4.497396583502919
