target,depth,n,hit,units,roi,lo,hi,roi_10c
T_UNITS,top5%,16,50.0,-0.7780538302277429,-4.862836438923393,-45.45918367346939,37.67174587226195,-8.621684273858184
T_UNITS,top10%,32,62.5,6.102253543557891,19.06954232361841,-16.606532929852538,55.27124270656882,14.419644868014434
T_UNITS,top20%,64,53.125,1.314775633999895,2.054336928124836,-24.23169460743478,28.155631507210718,-1.9935621030247617
T_UNITS,top30%,96,54.166666666666664,3.1367333059575664,3.2674305270391315,-16.429225634584345,22.941817242754816,-0.771649123297391
T_UNITS,top50%,160,51.24999999999999,-4.8832531176306855,-3.052033198519178,-18.914036264999336,10.919176255880414,-6.771316368422167
T_UNITS,EV>0,73,54.794520547945204,3.51001372923799,4.808237985257521,-20.52998232461452,29.342726693989412,0.6917890889725128
T_OFFSET,top5%,16,43.75,-2.1256728778467906,-13.28545548654244,-62.69253040890269,33.92984693877552,-16.971043248217164
T_OFFSET,top10%,32,50.0,-1.333643892339544,-4.167637163561075,-41.44569824800803,30.304585786883933,-7.961099387729822
T_OFFSET,top20%,64,53.125,1.4271901012530717,2.2299845332079244,-24.126723361410512,28.85408405504197,-1.8422528144872135
T_OFFSET,top30%,96,53.125,1.6380286900115708,1.7062798854287198,-19.19442364181596,21.147009454769783,-2.313723412868898
T_OFFSET,top50%,160,51.24999999999999,-4.133084767462336,-2.58317797966396,-18.297888847156642,11.884073997951665,-6.348184184514123
T_OFFSET,EV>0,77,54.54545454545454,3.793779963004223,4.926986964940549,-17.398848447746406,27.220902884804726,0.7351722590971417
T_WEIGHT,top5%,16,37.5,-3.3476190476190473,-20.922619047619044,-74.98511904761904,40.899346405228776,-24.52057453416149
T_WEIGHT,top10%,32,50.0,0.16242236024844825,0.5075698757764008,-39.48284161490683,39.21726679802356,-3.856443727367642
T_WEIGHT,top20%,64,54.6875,5.151637492941842,8.049433582721628,-22.203453319149073,35.30094406578225,3.5093912981141244
T_WEIGHT,top30%,96,51.041666666666664,0.744244885549235,0.7752550891137865,-20.74262548523104,22.295445880128074,-3.4803079368296763
T_WEIGHT,top50%,160,50.0,-5.414692804164194,-3.3841830026026214,-18.53928289617744,11.275692731073391,-7.2653013428663895
T_WEIGHT,EV>0,63,55.55555555555556,6.151637492941843,9.764503957050543,-21.001885218105233,37.658107393750626,5.152397509195296
EV_LIVE,top5%,16,50.0,-0.2617216117216117,-1.635760073260073,-56.02564102564103,54.89318034906272,-5.767339544513462
EV_LIVE,top10%,32,43.75,-4.787728937728937,-14.961652930402927,-49.016058016058004,25.5026460994203,-18.470111309785224
EV_LIVE,top20%,64,45.3125,-8.403021978021977,-13.12972184065934,-34.686877079677636,9.689824626431772,-16.56261509282609
EV_LIVE,top30%,96,43.75,-15.922069597069598,-16.585489163614163,-34.53754776626427,-0.7868271961013822,-19.85180913463096
EV_LIVE,top50%,160,48.125,-13.882355967970415,-8.67647247998151,-24.25492015756649,5.937143920781443,-12.185442131427289
EV_LIVE,EV>0,59,45.76271186440678,-6.828021978021978,-11.572918606816913,-34.64110645831861,10.96274723083934,-15.133982532656077
