target,depth,n,hit,units,roi,lo,hi,roi_10c
T_UNITS,top5%,24,50.0,-0.002813852813851936,-0.011724386724383067,-35.17561983471074,29.694440523244882,-3.9988379843452306
T_UNITS,top10%,49,46.93877551020408,-3.958744978160269,-8.07907138400055,-39.62422145709252,15.270082344398885,-11.74456748203779
T_UNITS,top20%,97,41.23711340206185,-19.30011922388234,-19.89703012771375,-40.413315289461494,-0.870475407903656,-23.105752682527317
T_UNITS,top30%,146,41.78082191780822,-28.885892216667955,-19.784857682649285,-33.50228701846389,-6.639446557356772,-22.940966843820988
T_UNITS,top50%,244,43.44262295081967,-43.013585718124574,-17.6285187369363,-27.993401246372734,-7.628146401339945,-20.770300667168733
T_UNITS,EV>0,153,42.48366013071895,-28.51013464091038,-18.634074928699597,-33.06250285263699,-4.785497077935415,-21.81782743754446
T_OFFSET,top5%,24,45.83333333333333,-1.5004329004328998,-6.251803751803749,-48.0238565782044,32.96190244279531,-10.180156665663915
T_OFFSET,top10%,49,44.89795918367347,-5.648400150574063,-11.527347246069516,-43.31931060560573,16.325581634819596,-15.102039503104276
T_OFFSET,top20%,97,42.2680412371134,-17.255145678908796,-17.78880997825649,-37.13684093968782,2.0151956115354355,-21.09632916272496
T_OFFSET,top30%,146,41.0958904109589,-31.026801307577045,-21.251233772313043,-34.290650960349296,-8.759594878701213,-24.33010282199806
T_OFFSET,top50%,244,43.44262295081967,-42.76596667050552,-17.527035520698984,-28.33638323427765,-6.452665440068264,-20.675860182493032
T_OFFSET,EV>0,153,41.830065359477125,-30.091087021862762,-19.667377138472393,-32.995002828580404,-6.843679134811383,-22.82618511398966
T_WEIGHT,top5%,24,45.83333333333333,-1.5004329004328996,-6.251803751803749,-47.071170841674785,28.646685105018435,-10.180156665663914
T_WEIGHT,top10%,49,40.816326530612244,-9.034632034632033,-18.438024560473536,-51.10882639575821,10.571436019288427,-21.826879289168556
T_WEIGHT,top20%,97,40.20618556701031,-19.791560713149913,-20.40367083829888,-40.871068628165304,-2.216253589426372,-23.713383738542422
T_WEIGHT,top30%,146,43.15068493150685,-23.381236657173687,-16.01454565559842,-30.81655529228348,-2.0525330357304714,-19.39302976997563
T_WEIGHT,top50%,244,43.85245901639344,-37.61779115508863,-15.417127522577308,-25.019496851833782,-5.949752245219034,-18.743452976425072
T_WEIGHT,EV>0,131,41.221374045801525,-25.505746929510046,-19.47003582405347,-34.53774603078884,-4.9618445075137,-22.735639986149184
EV_LIVE,top5%,24,33.33333333333333,-8.977056277056278,-37.40440115440116,-69.58587662337662,-4.553502558048007,-39.792251997867936
EV_LIVE,top10%,49,32.6530612244898,-18.61446452098626,-37.98870310405359,-60.476795321224664,-14.45766977410199,-40.39730168612156
EV_LIVE,top20%,97,39.175257731958766,-24.923099836634194,-25.693917357354838,-41.93997785247927,-8.053506078085688,-28.476508529020933
EV_LIVE,top30%,146,41.78082191780822,-32.17179876250704,-22.035478604456877,-33.536445916820405,-10.101315944232534,-24.86626169540001
EV_LIVE,top50%,244,43.85245901639344,-45.70505058280122,-18.731578107705417,-26.477175054671633,-10.589916170980741,-21.625863727244482
EV_LIVE,EV>0,72,38.88888888888889,-18.525668534364186,-25.730095186616925,-44.745385314758224,-5.909866395128963,-28.51878613201077
