rid,date,away,home,gn,y_nrfi,nrfi_odds,yrfi_odds,pay_n,pay_y,imp_n,imp_y,vig,dev_n,dev_y,p_raw,p_live,lam,park
373,2026-04-29,COL,CIN,1,0,105.0,-135.0,1.05,0.7407407407407407,0.4878048780487805,0.574468085106383,1.0622729631551635,0.4592085979482169,0.5407914020517831,0.3644988097303691,0.3623,1.1383,1.09
375,2026-04-29,KC,OAK,1,0,105.0,-135.0,1.05,0.7407407407407407,0.4878048780487805,0.574468085106383,1.0622729631551635,0.4592085979482169,0.5407914020517831,0.3452963190245691,0.3952,0.9132,0.93
379,2026-04-29,STL,PIT,1,1,-115.0,-115.0,0.8695652173913043,0.8695652173913043,0.5348837209302325,0.5348837209302325,1.069767441860465,0.5,0.5,0.45936251701245845,0.3992,0.8986,0.96
380,2026-04-29,ARI,MIL,1,0,-120.0,-105.0,0.8333333333333334,0.9523809523809523,0.5454545454545454,0.5121951219512195,1.057649667405765,0.5157232704402516,0.48427672955974843,0.5285701285323028,0.5151,0.5691,1.03
381,2026-04-29,DET,ATL,1,0,-140.0,110.0,0.7142857142857143,1.1,0.5833333333333334,0.47619047619047616,1.0595238095238095,0.550561797752809,0.449438202247191,0.589571988842004,0.6015,0.5308,0.98
383,2026-04-29,CHC,SD,1,1,-120.0,-105.0,0.8333333333333334,0.9523809523809523,0.5454545454545454,0.5121951219512195,1.057649667405765,0.5157232704402516,0.48427672955974843,0.5351482739550947,0.4692,0.6709,0.95
384,2026-04-29,WSH,NYM,1,0,-145.0,110.0,0.6896551724137931,1.1,0.5918367346938775,0.47619047619047616,1.0680272108843538,0.554140127388535,0.4458598726114649,0.48668347098517994,0.4493,0.7514,0.96
388,2026-04-30,TOR,MIN,1,1,-130.0,100.0,0.7692307692307693,1.0,0.5652173913043478,0.5,1.0652173913043477,0.5306122448979592,0.4693877551020409,0.5815159275530897,0.6433,0.4799,0.97
391,2026-04-30,KC,OAK,1,0,100.0,-130.0,1.0,0.7692307692307693,0.5,0.5652173913043478,1.0652173913043477,0.4693877551020409,0.5306122448979592,0.4105231035671146,0.4153,0.796,0.93
396,2026-04-30,HOU,BAL,2,0,-105.0,-125.0,0.9523809523809523,0.8,0.5121951219512195,0.5555555555555556,1.067750677506775,0.4796954314720812,0.5203045685279188,0.5127316691150821,0.4692,0.6711,1.06
397,2026-04-30,SF,PHI,2,0,-135.0,105.0,0.7407407407407407,1.05,0.574468085106383,0.4878048780487805,1.0622729631551635,0.5407914020517831,0.4592085979482169,0.4066148846362417,0.4512,0.7316,1.04
