rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,LAD,COL,1.2597,YRFI,LEAN,LEAN YRFI,41.6,58.4
2,STL,HOU,1.1910,NRFI,LEAN,LEAN NRFI,58.1,41.9
3,SD,LAA,1.1327,PASS,NO EDGE,PASS,51.4,48.6
4,TOR,ARI,1.0932,YRFI,LEAN,LEAN YRFI,43.4,56.6
5,CWS,OAK,1.0072,PASS,NO EDGE,PASS,47.1,52.9
6,NYM,CHC,0.9876,NRFI,LEAN,LEAN NRFI,57.0,43.0
7,KC,NYY,0.9713,NRFI,LEAN,LEAN NRFI,56.6,43.4
8,BAL,CLE,0.9587,NRFI,LEAN,LEAN NRFI,58.9,41.1
9,CIN,MIN,0.9515,NRFI,LEAN,LEAN NRFI,53.1,46.9
10,DET,BOS,0.9434,PASS,NO EDGE,PASS,47.3,52.7
11,SF,WSH,0.9170,NRFI,LEAN,LEAN NRFI,56.0,44.0
12,MIL,MIA,0.8341,YRFI,STRONG,STRONG YRFI,38.2,61.8
13,ATL,PHI,0.7675,NRFI,LEAN,LEAN NRFI,53.5,46.5
14,TEX,SEA,0.7631,NRFI,STRONG,STRONG NRFI,61.6,38.4
15,TB,PIT,0.6823,NRFI,LEAN,LEAN NRFI,55.8,44.2
