season,date,game_pk,away,home,event_id,commence_time,snapshot_ts,book,over_price,under_price,n_books_0_5,cons_over_devig,fanduel_over_devig,nrfi_prob,fi_total_runs
2024,2024-04-23,746888,HOU,CHC,767889554f282fa81403f03cfe058bf2,2024-04-23T23:40:00Z,2024-04-23T22:35:38Z,superbook,-140,110,1,0.550562,,0.341018,5
2024,2024-04-24,744864,LAD,WSH,955265e9b574ef00ca2b96ad7fd3c068,2024-04-24T22:45:00Z,2024-04-24T21:40:38Z,betrivers,-130,104,3,0.530462,,0.380711,1
2024,2024-04-24,745099,DET,TB,75716a60d8a6b0bc1ec7000b306088ca,2024-04-24T22:50:00Z,2024-04-24T21:45:38Z,betrivers,-104,-121,3,0.477908,,0.355121,2
2024,2024-04-24,746244,BAL,LAA,0a53624a6e022449adee3cef5bce6651,2024-04-24T20:07:00Z,2024-04-24T19:05:39Z,betrivers,-143,115,3,0.545797,,0.375013,0
2024,2024-04-25,745755,OAK,NYY,9949953e7b96db373915f1d572f9fdb5,2024-04-25T23:05:00Z,2024-04-25T22:00:39Z,betrivers,-107,-117,3,0.482769,,0.347204,0
2024,2024-04-25,746564,SD,COL,186a7db22526f42e61f4e7e04a297aef,2024-04-25T19:10:00Z,2024-04-25T18:05:39Z,betrivers,-132,106,3,0.547513,,0.34398,1
2024,2024-04-26,744949,LAD,TOR,7b565ca44afff549437c814a31170cfd,2024-04-26T23:07:00Z,2024-04-26T22:05:39Z,betrivers,-125,100,2,0.526316,,0.391828,1
2024,2024-04-26,745347,PIT,SF,735fec03757c8796aaa93cb9693906d3,2024-04-27T02:15:00Z,2024-04-27T01:10:40Z,betrivers,-112,-112,3,0.489796,,0.353851,0
2024,2024-04-26,746243,MIN,LAA,647a3170935c2cb5766ef23ebf78bca2,2024-04-27T01:38:00Z,2024-04-27T00:35:40Z,betrivers,100,-124,3,0.476283,,0.333408,0
2024,2024-04-27,746245,MIN,LAA,c13c504c37c7d07557016c060846cad5,2024-04-28T01:38:00Z,2024-04-28T00:35:38Z,superbook,-120,-110,1,0.510121,,0.382074,1
2024,2024-04-28,746237,MIN,LAA,5762775262003c2e5fc263e22450ba44,2024-04-28T20:07:00Z,2024-04-28T19:05:38Z,betrivers,105,-130,3,0.465291,,0.406164,0
2024,2024-04-28,747125,CLE,ATL,8ce7ae7579c45b492e6d308da8d328f2,2024-04-28T17:35:00Z,2024-04-28T16:30:38Z,betrivers,-130,105,3,0.531273,,0.401315,0
2024,2024-04-29,745672,PIT,OAK,438c3e92abced075ef6d39296f95c1e4,2024-04-30T01:40:00Z,2024-04-30T00:35:38Z,betrivers,106,-132,3,0.459997,,0.354389,2
2024,2024-04-29,746236,PHI,LAA,57d42400ea5a362a2e96758bae65ae13,2024-04-30T01:38:00Z,2024-04-30T00:35:38Z,betrivers,-121,-104,3,0.511888,,0.400757,4
2024,2024-04-29,747211,LAD,ARI,8307afe26210b8f7398d9a94e767904a,2024-04-30T01:40:00Z,2024-04-30T00:35:38Z,betrivers,-167,132,3,0.578199,,0.378483,1
2024,2024-04-30,745673,PIT,OAK,6597a4a050842bf997c6a37eb11ca1cc,2024-05-01T01:40:00Z,2024-05-01T00:35:39Z,betrivers,118,-148,3,0.439546,,0.362847,1
2024,2024-04-30,747210,LAD,ARI,b641bc31aab2a4d6f96bf92b19fc209c,2024-05-01T01:40:00Z,2024-05-01T00:35:39Z,superbook,-130,100,1,0.530612,,0.404514,0
2024,2024-05-01,745670,PIT,OAK,6cf268f0cf5ee8d0acad204c79a9b899,2024-05-01T19:37:00Z,2024-05-01T18:35:39Z,betrivers,105,-132,2,0.461600,,0.355057,0
2024,2024-05-02,746969,SF,BOS,23f517de3db131cda33b72aeef722b08,2024-05-02T17:35:00Z,2024-05-02T16:30:39Z,betrivers,-124,-105,3,0.523145,,0.381173,0
2024,2024-05-05,745667,MIA,OAK,de65caf6f5c392e8a8c83767084a4f2b,2024-05-05T20:07:00Z,2024-05-05T19:05:38Z,betrivers,-113,-110,3,0.491916,,0.338258,4
2024,2024-05-05,746153,ATL,LAD,dd59d9d263128650179542769f5bfaf0,2024-05-05T20:10:00Z,2024-05-05T19:05:38Z,betrivers,-113,-109,3,0.499473,,0.322034,2
2024,2024-05-05,747206,SD,ARI,524846cb3fa679aab9f8e7f20bd7d165,2024-05-05T20:10:00Z,2024-05-05T19:05:38Z,superbook,-115,-115,1,0.500000,,0.347656,4
2024,2024-05-06,745669,TEX,OAK,235af9442bec3867c0214d83ffebdba5,2024-05-07T01:40:00Z,2024-05-07T00:35:38Z,betrivers,112,-139,3,0.448369,,0.333406,0
2024,2024-05-06,746149,MIA,LAD,98286031be37aa66056c6886f309b46b,2024-05-07T02:10:00Z,2024-05-07T01:05:39Z,betrivers,-130,104,3,0.523694,,0.338336,5
2024,2024-05-07,745095,CWS,TB,b143c5b8165d00de7487574346546a0d,2024-05-07T22:50:00Z,2024-05-07T21:45:39Z,betrivers,-103,-122,3,0.479935,,0.397634,0
2024,2024-05-08,745584,TOR,PHI,0eb2c91b5df961474b4a53e7b0438d8f,2024-05-08T17:06:00Z,2024-05-08T16:05:39Z,superbook,-115,-115,1,0.500000,,0.351021,0
2024,2024-05-08,745659,TEX,OAK,0712c8d73f82fce49c9dbbb923ce2323,2024-05-08T19:37:00Z,2024-05-08T18:35:39Z,betrivers,105,-130,3,0.465291,,0.323315,0
2024,2024-05-08,745664,TEX,OAK,0712c8d73f82fce49c9dbbb923ce2323,2024-05-08T19:37:00Z,2024-05-08T18:35:39Z,betrivers,105,-130,3,0.465291,,0.365061,1
2024,2024-05-08,745749,HOU,NYY,7397061b41b616d97aee1c31594e1df1,2024-05-08T23:06:00Z,2024-05-08T22:05:39Z,betrivers,-150,120,3,0.562831,,0.322034,3
2024,2024-05-08,746562,SF,COL,f96f24b72dc3bbc928a084f1c4a53027,2024-05-09T00:41:00Z,2024-05-08T23:40:39Z,superbook,-105,-125,1,0.479695,,0.412644,0
2024,2024-05-09,746563,SF,COL,523cacaa0dfd246d7b1e3960ec462953,2024-05-09T19:10:00Z,2024-05-09T18:05:39Z,betrivers,102,-125,3,0.484177,,0.377216,0
2024,2024-05-12,745419,LAD,SD,723ec7a73a6da129dc6c5f2f86f55870,2024-05-12T20:10:00Z,2024-05-12T19:05:37Z,betrivers,104,-129,3,0.466660,,0.406525,2
2024,2024-05-12,746555,TEX,COL,60a8da1bbf7e9901c3df4d6087f5205e,2024-05-12T19:10:00Z,2024-05-12T18:05:38Z,betrivers,-152,123,3,0.570156,,0.386596,3
2024,2024-05-12,746798,CLE,CWS,227c65e5076cd4db78ef82c09da18bfc,2024-05-12T18:10:00Z,2024-05-12T17:05:38Z,superbook,-120,-110,1,0.510121,,0.351685,0
2024,2024-05-13,745420,COL,SD,1a95105847c4f57106ce32eb1e41103a,2024-05-14T01:40:00Z,2024-05-14T00:35:38Z,betrivers,100,-122,3,0.477495,,0.386713,0
2024,2024-05-13,746233,STL,LAA,ecbd89ee89f3185d65669c8ca37ac7d1,2024-05-14T01:38:00Z,2024-05-14T00:35:38Z,betrivers,-103,-121,3,0.483948,,0.373794,0
2024,2024-05-15,745341,LAD,SF,e38c249daa2619275b3ef7a24488bd38,2024-05-16T01:45:00Z,2024-05-16T00:40:39Z,superbook,100,-130,1,0.469388,,0.373091,0
2024,2024-05-15,747203,CIN,ARI,c7990db687bf74199b6250c2e917f1ec,2024-05-15T19:40:00Z,2024-05-15T18:35:38Z,betrivers,-105,-120,3,0.486144,,0.412658,0
2024,2024-05-17,746148,CIN,LAD,55e29177ca44b85ca24f18ded0a9dff3,2024-05-18T02:10:00Z,2024-05-18T01:05:38Z,superbook,-120,-110,1,0.510121,,0.322034,1
2024,2024-05-18,745339,COL,SF,6cd9eb84957a15d129eebeb699f44080,2024-05-18T20:05:00Z,2024-05-18T19:00:38Z,superbook,-110,-120,1,0.489879,,0.381232,3
2024,2024-05-18,746142,CIN,LAD,317237c172e8b6b5af31ca5f2690b9c2,2024-05-19T01:10:00Z,2024-05-19T00:05:38Z,betrivers,-112,-112,3,0.496626,,0.337481,0
2024,2024-05-19,745336,COL,SF,a85b167c9b79757b57982d81cb03d1ca,2024-05-19T20:05:00Z,2024-05-19T19:00:37Z,betrivers,102,-127,3,0.466039,,0.35398,1
2024,2024-05-20,746146,ARI,LAD,cea747cee6c2597f543a92d106855dba,2024-05-21T02:10:00Z,2024-05-21T01:05:38Z,superbook,-110,-120,1,0.489879,,0.390784,0
