season,date,game_pk,away,home,p_nrfi,fi_total_runs
2024,2024-06-04,746550,CIN,COL,0.322034,1
2024,2024-06-04,747196,SF,ARI,0.352273,0
2024,2024-06-05,746544,CIN,COL,0.322034,4
2024,2024-06-07,746220,HOU,LAA,0.403636,1
2024,2024-06-07,746466,MIL,DET,0.392473,0
2024,2024-06-08,746223,HOU,LAA,0.337004,0
2024,2024-06-09,744849,ATL,WSH,0.342084,0
2024,2024-06-09,745167,COL,STL,0.394698,0
2024,2024-06-09,745571,NYM,PHI,0.322034,1
2024,2024-06-09,745651,TOR,OAK,0.367239,0
2024,2024-06-09,746787,BOS,CWS,0.381305,0
2024,2024-06-11,746139,TEX,LAD,0.403541,3
2024,2024-06-11,746702,CLE,CIN,0.346724,1
2024,2024-06-11,747190,LAA,ARI,0.357671,0
2024,2024-06-12,745328,HOU,SF,0.406455,0
2024,2024-06-12,746137,TEX,LAD,0.397559,1
2024,2024-06-13,745809,MIA,NYM,0.401974,0
2024,2024-06-13,746136,TEX,LAD,0.403996,2
2024,2024-06-13,746465,WSH,DET,0.373428,0
2024,2024-06-14,746545,PIT,COL,0.33043,1
2024,2024-06-15,745329,LAA,SF,0.403934,2
2024,2024-06-15,745805,SD,NYM,0.405416,0
2024,2024-06-15,746135,KC,LAD,0.404578,0
2024,2024-06-15,747024,PHI,BAL,0.405407,1
2024,2024-06-15,747187,CWS,ARI,0.381204,1
2024,2024-06-16,745321,LAA,SF,0.40015,1
2024,2024-06-16,746130,KC,LAD,0.40857,0
2024,2024-06-16,746546,PIT,COL,0.322034,0
2024,2024-06-16,747109,TB,ATL,0.3501,2
2024,2024-06-17,745567,SD,PHI,0.35149,0
2024,2024-06-17,746543,LAD,COL,0.322034,1
2024,2024-06-18,746217,MIL,LAA,0.327813,1
2024,2024-06-18,746542,LAD,COL,0.322034,4
2024,2024-06-18,747107,DET,ATL,0.322034,2
2024,2024-06-19,744842,ARI,WSH,0.393967,0
2024,2024-06-19,746219,MIL,LAA,0.40472,1
2024,2024-06-19,746538,LAD,COL,0.322034,3
2024,2024-06-20,746539,LAD,COL,0.398321,1
2024,2024-06-21,745562,ARI,PHI,0.36977,0
2024,2024-06-21,746131,LAA,LAD,0.380733,0
2024,2024-06-22,745564,ARI,PHI,0.363866,2
2024,2024-06-22,746132,LAA,LAD,0.383708,0
2024,2024-06-22,746459,CWS,DET,0.381276,0
2024,2024-06-22,746541,WSH,COL,0.408475,1
2024,2024-06-23,745566,ARI,PHI,0.322034,0
2024,2024-06-23,746536,WSH,COL,0.3355,0
2024,2024-06-24,746218,OAK,LAA,0.334635,2
2024,2024-06-25,746213,OAK,LAA,0.408134,0
2024,2024-06-25,746775,LAD,CWS,0.363675,4
2024,2024-06-25,747022,CLE,BAL,0.369134,3
2024,2024-06-26,745325,CHC,SF,0.406215,0
2024,2024-06-26,746212,OAK,LAA,0.407493,0
2024,2024-06-27,745324,CHC,SF,0.408308,0
2024,2024-06-27,747185,MIN,ARI,0.410038,0
2024,2024-06-28,746214,DET,LAA,0.366123,2
2024,2024-06-28,746939,SD,BOS,0.384977,0
2024,2024-06-28,747183,OAK,ARI,0.322034,2
2024,2024-06-29,745559,MIA,PHI,0.348528,0
2024,2024-06-29,747186,OAK,ARI,0.380236,0
2024,2024-06-30,745072,WSH,TB,0.40351,0
2024,2024-06-30,745320,LAD,SF,0.324591,1
2024,2024-06-30,746209,DET,LAA,0.322034,1
2024,2024-06-30,747182,OAK,ARI,0.397826,0
2024,2024-07-01,746535,MIL,COL,0.322034,0
2024,2024-07-02,745730,CIN,NYY,0.407192,0
