rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,HOU,OAK,1.1052,NRFI,LEAN,LEAN NRFI,53.1,46.9
2,STL,DET,1.0937,NRFI,LEAN,LEAN NRFI,59.3,40.7
3,SEA,LAA,1.0631,YRFI,LEAN,LEAN YRFI,44.7,55.3
4,MIA,NYY,0.9910,NRFI,LEAN,LEAN NRFI,54.8,45.2
5,LAD,WSH,0.9699,NRFI,LEAN,LEAN NRFI,56.2,43.8
6,CIN,TEX,0.9681,NRFI,LEAN,LEAN NRFI,56.9,43.1
7,PHI,COL,0.9680,YRFI,LEAN,LEAN YRFI,40.1,59.9
8,CHC,CLE,0.9589,PASS,NO EDGE,PASS,51.1,48.9
9,TB,MIN,0.9396,PASS,NO EDGE,PASS,52.5,47.5
10,SD,BOS,0.9389,PASS,NO EDGE,PASS,48.5,51.5
11,MIL,KC,0.9214,NRFI,LEAN,LEAN NRFI,54.0,46.0
12,BAL,PIT,0.8691,NRFI,LEAN,LEAN NRFI,53.7,46.3
13,ATL,ARI,0.8669,PASS,NO EDGE,PASS,49.9,50.1
14,MIL,KC,0.8467,NRFI,LEAN,LEAN NRFI,53.9,46.1
15,TOR,CWS,0.8081,NRFI,LEAN,LEAN NRFI,56.2,43.8
16,NYM,SF,0.7575,NRFI,LEAN,LEAN NRFI,53.8,46.2
