date,game_pk,away,home,away_pitcher,home_pitcher,away_pitcher_q,home_pitcher_q,away_batting_q,home_batting_q,park_factor,away_lambda,home_lambda,lambda_total,nrfi_prob,yrfi_prob,over_1_5_prob,pick_side,pick_strength,data_points,nrfi_prob_raw,yrfi_prob_raw,pick_side_raw,pick_strength_raw,away_era,home_era,away_whip,home_whip,away_fip,home_fip,away_bb9,home_bb9,away_hr9,home_hr9,away_k9,home_k9,away_obp,home_obp,away_slg,home_slg,away_rpg,home_rpg,away_fi_era,home_fi_era,away_fi_whip,home_fi_whip,away_fi_ip,home_fi_ip,away_top3_obp,home_top3_obp,away_top3_slg,home_top3_slg,away_top3_iso,home_top3_iso,away_top3_n,home_top3_n,away_top3c_obp,home_top3c_obp,away_top3c_slg,home_top3c_slg,away_top3c_iso,home_top3c_iso,away_top3c_n,home_top3c_n,away_top3c_source,home_top3c_source,away_p_last5_game_nrfi,home_p_last5_game_nrfi,away_p_last5_pitcher_nrfi,home_p_last5_pitcher_nrfi,away_p_last5_n,home_p_last5_n,away_p_last10_game_nrfi,home_p_last10_game_nrfi,away_p_last10_pitcher_nrfi,home_p_last10_pitcher_nrfi,away_p_last10_n,home_p_last10_n,fi_park_nrfi_rate,wx_temp_c,wx_wind_kmh,wx_wind_deg,wx_humidity,wx_is_dome,wx_wind_out,wx_wind_cross,away_era_blend,home_era_blend,away_fip_blend,home_fip_blend,away_hr9_blend,home_hr9_blend,away_bb9_blend,home_bb9_blend,away_k9_blend,home_k9_blend,away_whip_blend,home_whip_blend,away_blend_source,home_blend_source,away_current_ip,home_current_ip,away_current_starts,home_current_starts,away_top3_platoon,home_top3_platoon,away_top3_lhb,home_top3_lhb,away_top3_switch,home_top3_switch,away_pitcher_throws_l,home_pitcher_throws_l,fi_away_runs,fi_home_runs,fi_total_runs,actual_side,graded_result,start_hour_et,is_day_game,away_days_rest,home_days_rest,away_arsenal_fb_pct,home_arsenal_fb_pct,away_arsenal_bb_pct,home_arsenal_bb_pct,away_arsenal_off_pct,home_arsenal_off_pct,away_arsenal_fb_velo,home_arsenal_fb_velo,away_arsenal_velo_gap,home_arsenal_velo_gap,away_top3_ops_vs_oppHand,home_top3_ops_vs_oppHand,away_pitcher_throws_hand,home_pitcher_throws_hand,home_xera,away_xera,home_whiff_pct_rank,away_whiff_pct_rank,home_p_last10_era,away_p_last10_era,home_pvt_nrfi_rate,away_pvt_nrfi_rate,home_avg_ip_per_start,away_avg_ip_per_start,home_catcher_id,away_catcher_id,home_catcher_framing,away_catcher_framing,home_catcher_extra_strikes,away_catcher_extra_strikes,away_top3c_last10_obp,home_top3c_last10_obp,away_top3c_last10_slg,home_top3c_last10_slg,away_top3c_last10_iso,home_top3c_last10_iso
2024-04-01,746817,ATL,CWS,Charlie Morton,Chris Flexen,ltd,ltd,live,live,0.9800,0.7074,0.4525,1.1599,0.3135,0.6865,0.3228,YRFI,STRONG,4,0.3135,0.6865,YRFI,STRONG,3.6367,7.1845,1.4265,1.6481,3.6881,6.0197,4.5735,3.1288,0.7714,2.2017,10.0837,6.7210,0.3418,0.2933,0.4936,0.3865,5.7274,3.9986,,,,,,,0.3669,0.3171,0.5425,0.4424,0.2426,0.1801,3,3,0.3810,0.2564,0.5263,0.4595,0.2105,0.2432,3,3,current,current,0.6000,0.4000,1.0000,0.4000,5,5,0.6000,0.6000,0.9000,0.6000,10,10,0.5180,6.8000,22.2000,32,90,0,-22.1459,1.5486,3.7800,6.1968,3.6739,5.5126,0.8794,1.9528,4.1850,3.2622,9.7986,7.1173,1.3850,1.5662,prior,prior,0,0,0,0,1,2,0,1,1,1,0,0,0,0,0,NRFI,LOSS,14,1,5,5,0.4269,0.5023,0.4631,0.3404,0.11,0.1573,93.97,91.31,9.02,9.99,0.7117,0.7510,R,R,4.200,4.200,50,50,5.923,3.780,0.7136,0.7272,4.80,4.33,455117,518595,-0.0384,0.0160,-77.6,56.3,0.4179,0.2783,0.5508,0.4815,0.2119,0.2500
2024-04-01,746899,COL,CHC,Dakota Hudson,Shota Imanaga,ltd,avg,live,live,1.0000,0.4565,0.5769,1.0334,0.3558,0.6442,0.2765,YRFI,STRONG,3,0.3558,0.6442,YRFI,STRONG,5.2615,4.1499,1.4769,1.2651,5.1209,4.1499,3.7385,2.8894,1.1077,1.2122,4.5692,8.3442,0.3107,0.3290,0.4058,0.4204,4.4506,5.0042,,,,,,,0.3644,0.3578,0.4712,0.4779,0.1890,0.1994,3,3,0.1957,0.3721,0.3182,0.3514,0.1591,0.0811,3,3,current,current,0.4000,,0.8000,,5,0,0.6000,,0.9000,,10,0,0.5579,6.1000,28.5000,29,89,0,-27.9764,-5.4381,4.7271,4.2000,4.5316,4.2000,1.0640,1.2000,3.5225,3.0000,6.2601,8.9000,1.4190,1.2500,prior,prior,0,0,0,0,1,2,2,1,0,1,0,1,0,0,0,NRFI,LOSS,14,1,5,5,0.4838,0.5432,0.415,0.1104,0.1012,0.3459,90.12,91.54,6.66,8.79,0.6923,0.8033,R,L,4.200,4.200,50,50,,5.400,0.7136,0.7272,,5.07,543228,553869,-0.0368,-0.0083,-43.5,-25.6,0.2913,0.3723,0.4672,0.4286,0.2049,0.1345
2024-04-01,744875,PIT,WSH,Marco Gonzales,MacKenzie Gore,ltd,ltd,live,live,0.9700,0.5073,0.4711,0.9784,0.3759,0.6241,0.2563,YRFI,LEAN,4,0.3759,0.6241,YRFI,LEAN,5.2200,4.4230,1.4600,1.4010,4.3101,4.9038,3.2400,3.7628,0.9000,1.7824,6.1200,9.9682,0.3153,0.3143,0.3939,0.3975,4.2867,4.3319,,,,,,,0.3137,0.3123,0.4385,0.4278,0.1835,0.1646,3,3,0.4783,0.3187,0.5676,0.4118,0.1892,0.1765,2,3,current,current,0.2000,0.4000,0.6000,0.4000,5,5,0.3000,0.5000,0.7000,0.7000,10,10,0.5416,14.1000,12.9000,63,76,0,-11.1717,-6.4500,4.6250,4.3650,4.1667,4.5873,1.0750,1.6391,3.1000,3.5770,7.7417,9.7140,1.3375,1.3625,prior,prior,0,0,0,0,2,2,1,1,1,0,1,1,0,0,0,NRFI,LOSS,16,1,5,5,0.5256,0.6246,0.2198,0.2829,0.2546,0.0925,89.79,96.0,9.61,10.13,0.7500,0.7230,L,L,4.200,4.200,50,50,4.312,5.220,0.7136,0.7136,4.87,5.07,656180,680779,-0.0285,-0.0085,-48.0,-10.4,0.3200,0.2447,0.3929,0.3511,0.1429,0.1298
2024-04-01,747058,KC,BAL,Michael Wacha,Dean Kremer,ltd,ltd,live,live,1.0600,0.4864,0.5036,0.9900,0.3716,0.6284,0.2606,YRFI,LEAN,4,0.3716,0.6284,YRFI,LEAN,3.2159,4.1178,1.1613,1.3089,3.8559,4.4600,2.8809,2.8668,1.0050,1.4073,8.3077,8.1834,0.3043,0.3207,0.3994,0.4204,4.1963,4.9364,,,,,,,0.3256,0.3421,0.4279,0.4650,0.1533,0.2018,3,3,0.4000,0.3846,0.9565,0.6667,0.6087,0.3636,2,3,current,current,0.2000,0.2000,0.6000,0.4000,5,5,0.2000,0.4000,0.6000,0.7000,10,10,0.5086,13.1000,7.0000,125,76,0,0.3664,-6.9904,3.4650,4.1400,3.8001,4.2548,1.0550,1.3584,2.9144,2.9059,8.4666,8.3792,1.1825,1.2950,prior,prior,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,NRFI,LOSS,18,0,5,5,0.447,0.5859,0.2306,0.2294,0.3224,0.1847,93.6,93.03,12.4,8.96,0.7200,0.7910,R,R,4.200,4.200,50,50,2.887,3.689,0.7272,0.7197,4.53,5.40,668939,521692,-0.0043,0.0160,-19.3,62.8,0.3304,0.3643,0.4608,0.5000,0.2059,0.2232
2024-04-01,745600,CIN,PHI,Andrew Abbott,Cristopher Sánchez,ltd,ltd,live,live,1.0400,0.4417,0.5608,1.0025,0.3670,0.6330,0.2652,YRFI,STRONG,4,0.3670,0.6330,YRFI,STRONG,3.8689,3.4780,1.3171,1.0576,4.2047,3.9613,3.6220,1.4644,1.3171,1.4644,9.8780,8.6949,0.3262,0.3262,0.4195,0.4360,4.8008,4.8743,,,,,,,0.3277,0.3541,0.4088,0.4702,0.1601,0.1900,3,3,0.2593,0.2500,0.3600,0.1818,0.1600,0.0000,2,1,current,current,0.6000,0.4000,0.6000,0.6000,5,5,0.3000,0.5000,0.5000,0.7000,10,10,0.5015,12.6000,4.8000,77,73,0,-2.3271,-4.1982,3.9525,3.6300,4.0624,3.8594,1.2899,1.3898,3.4723,1.8398,9.6494,8.7638,1.3025,1.1000,prior,prior,0,0,0,0,3,2,0,1,0,0,1,1,0,2,2,YRFI,WIN,18,0,5,5,0.5354,0.4744,0.3013,0.1688,0.1633,0.3568,92.79,94.48,8.03,9.37,0.6757,0.7740,L,L,4.200,4.200,50,50,3.857,6.090,0.7136,0.7136,5.60,4.13,592663,571912,0.0055,-0.0288,23.6,-54.5,0.3280,0.3669,0.5182,0.3878,0.2727,0.1327
2024-04-01,746085,LAA,MIA,Chase Silseth,Max Meyer,ltd,avg,live,live,0.9500,0.4453,0.4890,0.9343,0.3929,0.6071,0.2401,YRFI,LEAN,3,0.3929,0.6071,YRFI,LEAN,3.8919,4.1499,1.1892,1.2651,4.3982,4.1499,3.4054,2.8894,1.7027,1.2122,11.1892,8.3442,0.3171,0.3162,0.4250,0.4058,4.5523,4.1398,,,,,,,0.3722,0.3440,0.4141,0.4669,0.1558,0.1811,3,3,0.1250,0.3684,0.1935,0.3333,0.0968,0.0625,3,3,current,current,0.4000,,0.6000,,5,0,0.2500,,0.7500,,8,0,0.4425,,,,,1,0.0000,0.0000,4.0958,4.2000,4.4141,4.2000,1.3540,1.2000,3.6475,3.0000,9.2359,8.9000,1.2630,1.2500,prior,prior,0,0,0,0,1,2,1,1,0,1,0,0,0,4,4,YRFI,WIN,18,0,5,5,0.515,0.4143,0.2934,0.407,0.1916,0.1787,93.72,93.99,7.99,7.25,0.7397,0.7710,R,R,4.200,4.200,50,50,,3.892,0.7136,0.7136,,4.60,542194,642136,-0.0033,-0.0214,-6.5,-37.2,0.2941,0.3664,0.3333,0.4103,0.1333,0.1026
2024-04-01,745109,TEX,TB,Dane Dunning,Ryan Pepiot,ltd,ltd,live,live,0.9300,0.4384,0.4831,0.9216,0.3979,0.6021,0.2354,YRFI,LEAN,4,0.3979,0.6021,YRFI,LEAN,3.5510,2.0000,1.2789,0.5556,4.0724,3.6790,2.9388,0.5000,1.0408,1.0000,7.6531,5.5000,0.3354,0.3299,0.4488,0.4424,5.3545,5.2359,,,,,,,0.3681,0.3710,0.5438,0.4647,0.2461,0.1892,3,3,0.4400,0.3864,0.4348,0.6667,0.0435,0.3333,2,3,current,current,0.6000,0.6667,1.0000,0.6667,5,3,0.6000,0.6667,0.8000,0.6667,10,3,0.5016,,,,,1,0.0000,0.0000,3.8250,3.4790,4.0065,4.0650,1.0840,1.3050,2.9059,2.3250,7.7128,8.6350,1.2575,1.0785,prior,prior,0,0,0,0,2,1,2,1,0,0,0,0,3,0,3,YRFI,WIN,18,0,5,5,0.4997,0.5356,0.3754,0.2303,0.1249,0.2341,89.64,94.9,4.62,9.08,0.7770,0.7223,R,R,4.200,4.200,50,50,2.000,3.759,0.7136,0.6796,6.00,5.33,650907,641680,0.0540,-0.0027,29.9,-13.2,0.3577,0.3879,0.4057,0.5816,0.1509,0.2857
2024-04-01,745842,DET,NYM,Reese Olson,Sean Manaea,ltd,ltd,live,live,0.9600,0.4019,0.4427,0.8446,0.4297,0.5703,0.2073,PASS,NO EDGE,4,0.4297,0.5703,PASS,NO EDGE,4.3200,4.8214,1.1891,1.3500,4.2174,4.2972,3.0436,3.0857,1.3745,1.3500,9.3273,8.8714,0.3061,0.3162,0.3847,0.4076,4.1116,4.4280,,,,,,,0.3170,0.3392,0.4234,0.4796,0.1784,0.2308,3,3,0.2857,0.2105,0.2308,0.2500,0.0000,0.0833,1,3,current,current,0.6000,0.8000,1.0000,0.8000,5,5,0.5000,0.6000,0.8000,0.7000,10,10,0.5625,10.2000,4.7000,238,84,0,4.2937,1.9117,4.0425,4.3800,3.9201,3.7078,1.2157,1.1063,2.9084,3.1689,8.9619,9.5970,1.1525,1.2425,prior,prior,0,0,0,0,1,2,2,1,0,1,0,1,0,0,0,NRFI,PASS,19,0,5,5,0.4387,0.5956,0.3384,0.2876,0.2229,0.1168,94.18,92.31,7.69,7.01,0.5283,0.7830,R,L,4.200,4.200,50,50,4.821,3.333,0.7396,0.7136,5.33,6.27,682626,608348,-0.0051,0.0019,-18.7,6.7,0.3250,0.3520,0.4019,0.5138,0.1589,0.2569
2024-04-01,746409,TOR,HOU,Bowden Francis,Ronel Blanco,ltd,ltd,live,live,0.9900,0.5613,0.4852,1.0465,0.3512,0.6488,0.2813,YRFI,STRONG,4,0.3512,0.6488,YRFI,STRONG,4.1499,4.7368,1.2651,1.3684,4.1499,6.8690,2.8894,4.9737,1.2122,2.6053,8.3442,8.2895,0.3281,0.3299,0.4167,0.4351,4.5918,5.0494,,,,,,,0.3424,0.3417,0.4399,0.4641,0.1776,0.1858,3,3,0.3889,0.3684,0.5517,0.3529,0.3103,0.0588,2,1,current,current,,0.4000,,0.6000,0,5,,0.5714,,0.7143,0,7,0.5361,,,,,1,0.0000,0.0000,3.4569,4.3300,4.0274,4.8567,1.2140,1.5800,2.6975,3.8000,8.8476,8.9433,1.1237,1.3497,prior,prior,0,0,0,0,0,1,0,1,0,0,0,0,0,3,3,YRFI,WIN,20,0,5,5,0.5424,0.3835,0.2747,0.3955,0.1829,0.221,92.74,93.45,8.91,8.25,0.7680,0.6347,R,R,4.200,4.200,50,50,4.737,,0.7272,0.7136,5.33,,673237,672386,-0.0186,0.0208,-86.1,79.6,0.2977,0.3333,0.4298,0.4861,0.2368,0.1944
2024-04-01,745675,BOS,OAK,Tanner Houck,Joe Boyle,ltd,avg,live,live,0.9300,0.4457,0.4255,0.8712,0.4184,0.5816,0.2170,PASS,NO EDGE,3,0.4184,0.5816,PASS,NO EDGE,5.0094,1.6875,1.3679,0.8125,4.2995,3.1651,3.4811,2.8125,1.1887,0.5625,8.4057,8.4375,0.3235,0.2997,0.4232,0.3737,4.7387,3.6822,,,,,,,0.3352,0.3480,0.4672,0.4292,0.1988,0.1905,3,3,0.2391,0.2680,0.2791,0.1923,0.0930,0.0385,3,2,current,current,0.6000,0.6667,0.8000,1.0000,5,3,0.5000,0.6667,0.7000,1.0000,10,3,0.4749,20.0000,8.9000,284,49,0,5.9553,6.6140,4.8075,4.2000,4.1321,4.2000,1.1915,1.2000,3.3608,3.0000,8.5292,8.9000,1.3400,1.2500,prior,prior,0,0,0,0,2,1,2,1,0,0,0,0,1,0,1,YRFI,PASS,21,0,5,5,0.3298,0.5901,0.4208,0.4099,0.2494,0.0,93.54,97.72,5.09,9.0,0.8963,0.5570,R,R,4.200,4.200,50,50,1.688,4.469,0.7136,0.7136,5.33,4.87,669127,624512,-0.0146,0.0344,-81.9,62.0,0.2818,0.2744,0.2897,0.3301,0.0748,0.1262
