date,game_pk,away,home,away_pitcher,home_pitcher,away_pitcher_q,home_pitcher_q,away_batting_q,home_batting_q,park_factor,away_lambda,home_lambda,lambda_total,nrfi_prob,yrfi_prob,over_1_5_prob,pick_side,pick_strength,data_points,nrfi_prob_raw,yrfi_prob_raw,pick_side_raw,pick_strength_raw,away_era,home_era,away_whip,home_whip,away_fip,home_fip,away_bb9,home_bb9,away_hr9,home_hr9,away_k9,home_k9,away_obp,home_obp,away_slg,home_slg,away_rpg,home_rpg,away_fi_era,home_fi_era,away_fi_whip,home_fi_whip,away_fi_ip,home_fi_ip,away_top3_obp,home_top3_obp,away_top3_slg,home_top3_slg,away_top3_iso,home_top3_iso,away_top3_n,home_top3_n,away_top3c_obp,home_top3c_obp,away_top3c_slg,home_top3c_slg,away_top3c_iso,home_top3c_iso,away_top3c_n,home_top3c_n,away_top3c_source,home_top3c_source,away_p_last5_game_nrfi,home_p_last5_game_nrfi,away_p_last5_pitcher_nrfi,home_p_last5_pitcher_nrfi,away_p_last5_n,home_p_last5_n,away_p_last10_game_nrfi,home_p_last10_game_nrfi,away_p_last10_pitcher_nrfi,home_p_last10_pitcher_nrfi,away_p_last10_n,home_p_last10_n,fi_park_nrfi_rate,wx_temp_c,wx_wind_kmh,wx_wind_deg,wx_humidity,wx_is_dome,wx_wind_out,wx_wind_cross,away_era_blend,home_era_blend,away_fip_blend,home_fip_blend,away_hr9_blend,home_hr9_blend,away_bb9_blend,home_bb9_blend,away_k9_blend,home_k9_blend,away_whip_blend,home_whip_blend,away_blend_source,home_blend_source,away_current_ip,home_current_ip,away_current_starts,home_current_starts,fi_away_runs,fi_home_runs,fi_total_runs,actual_side,graded_result
2022-04-08,662888,CWS,DET,Lucas Giolito,Eduardo Rodriguez,ltd,ltd,live,live,0.9800,0.4492,0.4334,0.8826,0.4137,0.5863,0.2211,YRFI,LEAN,4,0.4137,0.5863,YRFI,LEAN,3.6975,4.6050,1.1375,1.3550,3.8169,3.4609,2.7197,2.7681,1.3227,1.1158,9.8386,10.1687,0.3345,0.3088,0.4213,0.4003,4.8743,4.3150,,,,,,,0.3580,0.3317,0.5175,0.4544,0.2280,0.2087,3,3,0.3580,0.3317,0.5175,0.4544,0.2280,0.2087,0,0,prior,prior,0.6000,0.8000,0.8000,0.8000,5,5,0.5000,0.7000,0.8000,0.8000,10,10,0.5107,7.6000,20.5000,246,65,0,13.7172,15.2345,3.6975,4.6050,3.8169,3.4609,1.3227,1.1158,2.7197,2.7681,9.8386,10.1687,1.1375,1.3550,prior,prior,0,0,0,0,1,0,1,YRFI,WIN
2022-04-08,661131,OAK,PHI,Frankie Montas,Aaron Nola,ltd,ltd,live,live,1.0400,0.4165,0.4511,0.8676,0.4200,0.5800,0.2157,PASS,NO EDGE,4,0.4200,0.5800,PASS,NO EDGE,3.5775,4.5225,1.1975,1.1600,3.4432,3.4125,2.8075,2.2109,1.0219,1.2739,9.6969,10.5782,0.3171,0.3180,0.4067,0.4085,4.5749,4.5240,,,,,,,0.3328,0.3841,0.4059,0.5356,0.1611,0.2554,3,3,0.3328,0.3841,0.4059,0.5356,0.1611,0.2554,0,0,prior,prior,0.6000,0.4000,0.8000,0.8000,5,5,0.6000,0.5000,0.8000,0.8000,10,10,0.5015,12.1000,7.6000,273,64,0,1.7096,7.4052,3.5775,4.5225,3.4432,3.4125,1.0219,1.2739,2.8075,2.2109,9.6969,10.5782,1.1975,1.1600,prior,prior,0,0,0,0,0,1,1,YRFI,PASS
2022-04-08,661918,BAL,TB,John Means,Shane McClanahan,ltd,ltd,live,live,0.9300,0.3705,0.4711,0.8416,0.4310,0.5690,0.2062,PASS,NO EDGE,4,0.4310,0.5690,PASS,NO EDGE,3.7650,3.6225,1.0850,1.2650,4.4010,3.4420,1.9504,2.7788,1.6851,1.0677,8.4117,9.9565,0.3052,0.3207,0.4030,0.4277,4.1003,5.2189,,,,,,,0.3329,0.3501,0.4800,0.4144,0.2121,0.1564,3,3,0.3329,0.3501,0.4800,0.4144,0.2121,0.1564,0,0,prior,prior,0.4000,0.6000,0.6000,0.6000,5,5,0.6000,0.5000,0.8000,0.8000,10,10,0.5016,,,,,1,0.0000,0.0000,3.7650,3.6225,4.4010,3.4420,1.6851,1.0677,1.9504,2.7788,8.4117,9.9565,1.0850,1.2650,prior,prior,0,0,0,0,0,0,0,NRFI,PASS
2022-04-08,662933,LAD,COL,Walker Buehler,Kyle Freeland,ltd,ltd,live,live,1.2200,0.6533,0.4797,1.1330,0.3221,0.6779,0.3130,YRFI,STRONG,4,0.3221,0.6779,YRFI,STRONG,2.9025,4.2975,1.0400,1.3775,3.2990,4.3983,2.4440,2.8839,0.9190,1.4231,9.1314,8.1214,0.3290,0.3171,0.4277,0.4140,5.0664,4.5781,,,,,,,0.3792,0.3457,0.5104,0.4527,0.2107,0.1806,3,3,0.3792,0.3457,0.5104,0.4527,0.2107,0.1806,0,0,prior,prior,0.8000,0.6000,1.0000,0.8000,5,5,0.7000,0.6000,0.9000,0.8000,10,10,0.4410,19.0000,3.9000,56,16,0,-2.5586,-2.9434,2.9025,4.2975,3.2990,4.3983,0.9190,1.4231,2.4440,2.8839,9.1314,8.1214,1.0400,1.3775,prior,prior,0,0,0,0,0,0,0,NRFI,LOSS
2022-04-08,661750,SEA,MIN,Robbie Ray,Joe Ryan,ltd,ltd,live,live,0.9700,0.4061,0.4343,0.8404,0.4315,0.5685,0.2058,PASS,NO EDGE,4,0.4315,0.5685,PASS,NO EDGE,3.1800,4.1673,1.0925,1.1496,3.7207,4.0182,2.5677,2.7200,1.4535,1.2380,10.8941,9.2068,0.3043,0.3143,0.3875,0.4222,4.3150,4.4958,,,,,,,0.3751,0.3467,0.4623,0.5203,0.1623,0.2410,3,3,0.3751,0.3467,0.4623,0.5203,0.1623,0.2410,0,0,prior,prior,0.2000,0.6000,0.4000,1.0000,5,5,0.5000,0.6000,0.6000,1.0000,10,5,0.5085,6.2000,22.8000,339,36,0,9.9949,20.4925,3.1800,4.1673,3.7207,4.0182,1.4535,1.2380,2.5677,2.7200,10.8941,9.2068,1.0925,1.1496,prior,prior,0,0,0,0,2,0,2,YRFI,PASS
2022-04-08,662124,MIA,SF,Sandy Alcantara,Logan Webb,ltd,ltd,live,live,0.9400,0.3022,0.4077,0.7099,0.4917,0.5083,0.1593,NRFI,STRONG,4,0.4917,0.5083,NRFI,STRONG,3.4425,3.3225,1.1150,1.1450,3.4518,2.9142,2.3947,2.3908,0.9908,0.7102,8.8368,9.4262,0.2997,0.3281,0.3756,0.4378,3.8969,4.9195,,,,,,,0.3313,0.3592,0.4530,0.5197,0.2096,0.2545,3,3,0.3313,0.3592,0.4530,0.5197,0.2096,0.2545,0,0,prior,prior,0.8000,0.4000,1.0000,0.6000,5,5,0.5000,0.3000,0.8000,0.8000,10,10,0.5133,20.8000,25.6000,269,56,0,11.2223,23.0091,3.4425,3.3225,3.4518,2.9142,0.9908,0.7102,2.3947,2.3908,8.8368,9.4262,1.1150,1.1450,prior,prior,0,0,0,0,0,0,0,NRFI,WIN
2022-04-08,662559,NYM,WSH,Max Scherzer,Josiah Gray,ltd,ltd,live,live,0.9700,0.5308,0.3708,0.9016,0.4059,0.5941,0.2281,YRFI,LEAN,4,0.4059,0.5941,YRFI,LEAN,2.8976,4.9454,0.9600,1.3133,3.1028,5.1732,2.1068,3.7200,1.1668,1.9230,11.1195,9.3935,0.3153,0.3354,0.3929,0.4167,3.9703,4.4675,,,,,,,0.3882,0.3709,0.4299,0.4688,0.1324,0.2006,3,3,0.3882,0.3709,0.4299,0.4688,0.1324,0.2006,0,0,prior,prior,0.6000,0.8000,1.0000,0.8000,5,5,0.5000,0.5000,1.0000,0.7000,10,10,0.5416,14.1000,8.8000,189,45,0,8.0392,-3.5793,2.8976,4.9454,3.1028,5.1732,1.1668,1.9230,2.1068,3.7200,11.1195,9.3935,0.9600,1.3133,prior,prior,0,0,0,0,0,0,0,NRFI,LOSS
2022-04-08,661782,TEX,TOR,Jon Gray,José Berríos,ltd,ltd,live,live,1.0100,0.3565,0.5594,0.9158,0.4002,0.5998,0.2333,YRFI,LEAN,4,0.4002,0.5998,YRFI,LEAN,4.4925,3.6875,1.3100,1.1062,4.0445,3.4260,3.3775,2.3378,1.2513,1.0763,9.3374,9.4231,0.2960,0.3290,0.3783,0.4616,3.9082,5.1568,,,,,,,0.3470,0.3682,0.5124,0.5436,0.2460,0.2471,3,3,0.3470,0.3682,0.5124,0.5436,0.2460,0.2471,0,0,prior,prior,0.4000,0.4000,0.4000,1.0000,5,5,0.5000,0.4000,0.7000,0.8000,10,10,0.5161,,,,,1,0.0000,0.0000,4.4925,3.6875,4.0445,3.4260,1.2513,1.0763,3.3775,2.3378,9.3374,9.4231,1.3100,1.1062,prior,prior,0,0,0,0,4,0,4,YRFI,WIN
2022-04-08,661576,CIN,ATL,Reiver Sanmartin,Charlie Morton,avg,ltd,live,live,0.9800,0.3929,0.4979,0.8907,0.4104,0.5896,0.2241,YRFI,LEAN,3,0.4104,0.5896,YRFI,LEAN,4.2000,3.5550,1.2500,1.0925,4.2000,3.1725,3.0000,2.8639,1.2000,0.8832,8.9000,10.0976,0.3272,0.3189,0.4296,0.4332,4.8178,4.8679,,,,,,,0.3519,0.3490,0.4388,0.5187,0.1829,0.2413,3,3,0.3519,0.3490,0.4388,0.5187,0.1829,0.2413,0,0,prior,prior,0.0000,0.6000,0.5000,0.8000,2,5,0.0000,0.5000,0.5000,0.8000,2,10,0.4992,9.0000,21.9000,287,62,0,17.7175,12.8725,4.2000,3.5550,4.2000,3.1725,1.2000,0.8832,3.0000,2.8639,8.9000,10.0976,1.2500,1.0925,prior,prior,0,0,0,0,0,0,0,NRFI,LOSS
2022-04-08,661041,HOU,LAA,Jake Odorizzi,Reid Detmers,ltd,ltd,live,live,0.9900,0.5551,0.4922,1.0473,0.3509,0.6491,0.2816,YRFI,STRONG,4,0.3509,0.6491,YRFI,STRONG,4.2075,4.7387,1.2500,1.3409,4.2963,4.5148,2.9525,3.3200,1.3365,1.3730,8.1199,8.8268,0.3372,0.3107,0.4415,0.4076,5.2528,4.4619,,,,,,,0.3054,0.3348,0.4025,0.5080,0.1673,0.2637,2,3,0.3054,0.3348,0.4025,0.5080,0.1673,0.2637,0,0,prior,prior,0.6000,0.4000,0.8000,0.8000,5,5,0.5000,0.4000,0.8000,0.8000,10,5,0.4850,36.8000,19.6000,253,5,0,17.6164,8.5921,4.2075,4.7387,4.2963,4.5148,1.3365,1.3730,2.9525,3.3200,8.1199,8.8268,1.2500,1.3409,prior,prior,0,0,0,0,1,2,3,YRFI,WIN
