rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,COL,ATL,1.2132,PASS,LINEUP PENDING,PASS,47.6,52.4,824877,1,N,7:15 PM ET
2,CIN,CHC,1.1652,PASS,NO EDGE,PASS,49.6,50.4,824638,1,N,2:20 PM ET
3,CWS,MIN,1.1100,PASS,LINEUP PENDING,PASS,48.6,51.4,823666,1,N,8:10 PM ET
4,BAL,OAK,1.0778,PASS,LINEUP PENDING,PASS,49.2,50.8,824960,1,N,9:40 PM ET
5,MIA,WSH,1.0407,PASS,LINEUP PENDING,PASS,53.6,46.4,822691,1,N,6:45 PM ET
6,PIT,STL,1.0263,PASS,LINEUP PENDING,PASS,53.7,46.3,823013,1,N,8:15 PM ET
7,PHI,LAA,1.0001,PASS,LINEUP PENDING,PASS,40.8,59.2,823985,1,N,9:38 PM ET
8,HOU,NYM,0.9905,PASS,LINEUP PENDING,PASS,54.3,45.7,823583,1,N,7:10 PM ET
9,TEX,MIL,0.9556,PASS,LINEUP PENDING,PASS,58.2,41.8,823744,1,N,7:40 PM ET
10,ARI,SF,0.9542,PASS,LINEUP PENDING,PASS,51.5,48.5,823178,1,N,10:15 PM ET
11,BOS,NYY,0.9457,PASS,LINEUP PENDING,PASS,52.8,47.2,823504,1,N,7:15 PM ET
12,KC,CLE,0.9337,PASS,LINEUP PENDING,PASS,54.3,45.7,824396,1,N,7:10 PM ET
13,SEA,TOR,0.8919,PASS,LINEUP PENDING,PASS,54.5,45.5,822769,1,N,7:15 PM ET
14,LAD,DET,0.8469,NRFI,LEAN,LEAN NRFI,54.1,45.9,824231,1,N,6:40 PM ET
15,SD,TB,0.7850,PASS,LINEUP PENDING,PASS,49.3,50.7,822935,1,N,7:10 PM ET
