rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,LAA,CIN,1.1502,NRFI,LEAN,LEAN NRFI,57.9,42.1
2,MIN,TOR,1.0604,PASS,NO EDGE,PASS,50.6,49.4
3,WSH,MIL,1.0381,NRFI,STRONG,STRONG NRFI,61.5,38.5
4,CLE,ATL,1.0301,PASS,NO EDGE,PASS,49.0,51.0
5,COL,SD,1.0251,PASS,NO EDGE,PASS,52.2,47.8
6,NYY,TB,1.0063,PASS,NO EDGE,PASS,49.4,50.6
7,HOU,SEA,0.9683,NRFI,STRONG,STRONG NRFI,61.4,38.6
8,BOS,STL,0.9594,NRFI,STRONG,STRONG NRFI,60.2,39.8
9,MIA,DET,0.9431,PASS,NO EDGE,PASS,48.0,52.0
10,SF,BAL,0.9313,PASS,NO EDGE,PASS,52.4,47.6
11,OAK,NYM,0.8911,NRFI,LEAN,LEAN NRFI,53.7,46.3
12,TEX,LAD,0.8825,PASS,NO EDGE,PASS,49.9,50.1
13,PIT,CHC,0.8402,NRFI,LEAN,LEAN NRFI,57.2,42.8
14,ARI,PHI,0.8096,NRFI,LEAN,LEAN NRFI,55.4,44.6
15,CWS,KC,0.7717,NRFI,LEAN,LEAN NRFI,56.5,43.5
