rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,HOU,OAK,1.1037,NRFI,LEAN,LEAN NRFI,53.1,46.9
2,STL,DET,1.0801,NRFI,LEAN,LEAN NRFI,59.2,40.8
3,SEA,LAA,1.0630,YRFI,LEAN,LEAN YRFI,44.7,55.3
4,MIA,NYY,0.9747,NRFI,LEAN,LEAN NRFI,55.2,44.8
5,PHI,COL,0.9635,YRFI,LEAN,LEAN YRFI,40.1,59.9
6,CIN,TEX,0.9572,NRFI,LEAN,LEAN NRFI,56.9,43.1
7,CHC,CLE,0.9569,PASS,NO EDGE,PASS,51.1,48.9
8,LAD,WSH,0.9556,NRFI,LEAN,LEAN NRFI,56.2,43.8
9,TB,MIN,0.9396,PASS,NO EDGE,PASS,52.5,47.5
10,SD,BOS,0.9324,PASS,NO EDGE,PASS,48.5,51.5
11,MIL,KC,0.9062,NRFI,LEAN,LEAN NRFI,54.0,46.0
12,ATL,ARI,0.8847,PASS,NO EDGE,PASS,49.9,50.1
13,BAL,PIT,0.8642,NRFI,LEAN,LEAN NRFI,53.7,46.3
14,MIL,KC,0.8317,NRFI,LEAN,LEAN NRFI,53.9,46.1
15,TOR,CWS,0.8081,NRFI,LEAN,LEAN NRFI,56.2,43.8
16,NYM,SF,0.7575,NRFI,LEAN,LEAN NRFI,53.8,46.2
