rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,LAD,COL,1.2408,YRFI,LEAN,LEAN YRFI,41.6,58.4
2,STL,HOU,1.1900,NRFI,LEAN,LEAN NRFI,58.1,41.9
3,SD,LAA,1.1266,PASS,NO EDGE,PASS,51.4,48.6
4,TOR,ARI,1.0951,YRFI,LEAN,LEAN YRFI,43.4,56.6
5,CWS,OAK,1.0087,PASS,NO EDGE,PASS,47.1,52.9
6,NYM,CHC,0.9853,NRFI,LEAN,LEAN NRFI,57.0,43.0
7,BAL,CLE,0.9587,NRFI,LEAN,LEAN NRFI,58.9,41.1
8,KC,NYY,0.9470,NRFI,LEAN,LEAN NRFI,56.6,43.4
9,CIN,MIN,0.9449,NRFI,LEAN,LEAN NRFI,53.1,46.9
10,DET,BOS,0.9420,PASS,NO EDGE,PASS,47.3,52.7
11,SF,WSH,0.9170,NRFI,LEAN,LEAN NRFI,56.0,44.0
12,MIL,MIA,0.8327,YRFI,STRONG,STRONG YRFI,38.2,61.8
13,ATL,PHI,0.7646,NRFI,LEAN,LEAN NRFI,53.5,46.5
14,TEX,SEA,0.7606,NRFI,STRONG,STRONG NRFI,61.6,38.4
15,TB,PIT,0.6784,NRFI,LEAN,LEAN NRFI,55.8,44.2
