rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,HOU,COL,1.1864,YRFI,STRONG,STRONG YRFI,38.4,61.6
2,ATL,LAA,1.0928,PASS,NO EDGE,PASS,51.4,48.6
3,STL,WSH,1.0342,NRFI,LEAN,LEAN NRFI,56.0,44.0
4,CHC,TB,0.9779,PASS,NO EDGE,PASS,49.6,50.4
5,KC,CLE,0.9534,NRFI,LEAN,LEAN NRFI,58.9,41.1
6,MIL,BOS,0.9078,NRFI,LEAN,LEAN NRFI,55.6,44.4
7,BAL,CWS,0.8984,NRFI,LEAN,LEAN NRFI,57.2,42.8
8,CIN,MIA,0.8983,YRFI,STRONG,STRONG YRFI,38.2,61.8
9,SEA,TEX,0.8539,NRFI,LEAN,LEAN NRFI,58.3,41.7
10,OAK,NYY,0.8445,NRFI,LEAN,LEAN NRFI,54.5,45.5
11,ARI,NYM,0.8384,NRFI,STRONG,STRONG NRFI,63.3,36.7
12,DET,MIN,0.7330,NRFI,LEAN,LEAN NRFI,53.1,46.9
13,PHI,SF,0.7234,NRFI,LEAN,LEAN NRFI,55.4,44.6
14,LAD,TOR,0.7143,PASS,NO EDGE,PASS,52.7,47.3
15,SD,PIT,0.6214,NRFI,LEAN,LEAN NRFI,55.8,44.2
