rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,TB,ATL,1.1052,PASS,NO EDGE,PASS,44.6,55.4,824875,1,N,7:15 PM ET
2,CLE,BAL,1.1145,NRFI,LEAN,LEAN NRFI,54.6,45.4,824792,1,N,6:35 PM ET
3,MIN,DET,1.0945,NRFI,LEAN,LEAN NRFI,53.1,46.9,824228,1,N,6:40 PM ET
4,HOU,PHI,1.0773,YRFI,STRONG,STRONG YRFI,40.1,59.9,823414,1,N,6:40 PM ET
5,PIT,CWS,1.0395,PASS,NO EDGE,PASS,46.2,53.8,824551,1,N,7:40 PM ET
6,TOR,OAK,1.0289,PASS,NO EDGE,PASS,49.3,50.7,824957,1,N,9:40 PM ET
7,WSH,SD,1.0098,NRFI,LEAN,LEAN NRFI,51.3,48.7,823250,1,N,9:40 PM ET
8,CHC,MIL,0.9930,NRFI,LEAN,LEAN NRFI,54.7,45.3,823738,1,N,7:40 PM ET
9,LAA,BOS,0.9905,NRFI,LEAN,LEAN NRFI,53.2,46.8,824714,1,N,6:45 PM ET
10,NYM,MIA,0.9299,PASS,NO EDGE,PASS,49.4,50.6,823821,1,N,6:40 PM ET
11,ARI,KC,0.9249,NRFI,LEAN,LEAN NRFI,52.8,47.2,824063,1,N,7:40 PM ET
12,STL,SF,0.9279,NRFI,LEAN,LEAN NRFI,53.8,46.2,823174,1,N,9:45 PM ET
13,TEX,SEA,0.9252,NRFI,LEAN,LEAN NRFI,54.3,45.7,823092,1,N,9:40 PM ET
14,COL,NYY,0.9337,PASS,NO EDGE,PASS,49.0,51.0,823500,1,N,7:05 PM ET
15,CIN,LAD,0.8902,PASS,NO EDGE,PASS,48.8,51.2,823901,1,N,10:10 PM ET
