rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,CWS,MIN,1.1798,PASS,NO EDGE,PASS,46.9,53.1,823665,1,N,2:10 PM ET
2,CIN,CHC,1.0830,NRFI,LEAN,LEAN NRFI,50.5,49.5,824637,1,N,2:20 PM ET
3,COL,ATL,1.0915,PASS,LOW LAMBDA,PASS,40.3,59.7,824874,1,N,4:10 PM ET
4,ARI,SF,1.0693,PASS,NO EDGE,PASS,46.8,53.2,823177,1,S,4:05 PM ET
5,ARI,SF,1.0261,PASS,LINEUP PENDING,PASS,53.2,46.8,823176,2,S,10:05 PM ET
6,TEX,MIL,1.0173,PASS,LINEUP PENDING,PASS,54.2,45.8,823741,1,N,7:15 PM ET
7,BAL,OAK,1.0143,PASS,LINEUP PENDING,PASS,49.4,50.6,824961,1,N,10:05 PM ET
8,PHI,LAA,0.9909,PASS,LINEUP PENDING,PASS,49.2,50.8,823986,1,N,10:07 PM ET
9,SEA,TOR,1.0000,NRFI,LEAN,LEAN NRFI,54.3,45.7,822770,1,N,3:07 PM ET
10,PIT,STL,0.9575,NRFI,LEAN,LEAN NRFI,52.7,47.3,823011,1,N,2:15 PM ET
11,HOU,NYM,0.9201,PASS,NO EDGE,PASS,49.9,50.1,823582,1,N,4:10 PM ET
12,SD,TB,0.9243,PASS,LOW LAMBDA,PASS,42.0,58.0,822936,1,N,4:10 PM ET
13,MIA,WSH,0.9076,NRFI,LEAN,LEAN NRFI,52.2,47.8,822690,1,N,4:05 PM ET
14,BOS,NYY,0.9208,PASS,NO EDGE,PASS,49.1,50.9,823539,1,S,1:05 PM ET
15,LAD,DET,0.8989,NRFI,LEAN,LEAN NRFI,53.6,46.4,824230,1,N,1:10 PM ET
16,KC,CLE,0.8895,NRFI,LEAN,LEAN NRFI,53.6,46.4,824392,1,N,4:10 PM ET
17,BOS,NYY,0.8539,PASS,LINEUP PENDING,PASS,54.2,45.8,823501,2,S,7:15 PM ET
