rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,MIA,ATL,1.0799,PASS,NO EDGE,PASS,52.0,48.0
2,CLE,STL,1.0619,NRFI,LEAN,LEAN NRFI,57.2,42.8
3,LAA,NYY,0.9992,NRFI,LEAN,LEAN NRFI,56.6,43.4
4,ARI,BAL,0.9978,PASS,NO EDGE,PASS,52.2,47.8
5,TEX,OAK,0.8759,PASS,NO EDGE,PASS,47.1,52.9
6,HOU,SEA,0.8745,NRFI,STRONG,STRONG NRFI,61.6,38.4
7,CHC,PHI,0.8646,NRFI,LEAN,LEAN NRFI,53.5,46.5
8,BOS,MIN,0.8578,PASS,NO EDGE,PASS,49.1,50.9
9,WSH,PIT,0.8322,NRFI,LEAN,LEAN NRFI,55.8,44.2
10,NYM,LAD,0.8131,YRFI,LEAN,LEAN YRFI,41.1,58.9
