rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,LAD,COL,1.2462,YRFI,STRONG,STRONG YRFI,37.4,62.6
2,HOU,CLE,1.0541,PASS,NO EDGE,PASS,51.1,48.9
3,ATL,WSH,1.0364,NRFI,LEAN,LEAN NRFI,56.2,43.8
4,DET,BOS,1.0304,PASS,NO EDGE,PASS,47.7,52.3
5,PHI,CHC,0.9473,NRFI,LEAN,LEAN NRFI,54.3,45.7
6,OAK,SEA,0.9313,NRFI,STRONG,STRONG NRFI,61.4,38.6
7,STL,MIA,0.8812,YRFI,LEAN,LEAN YRFI,44.9,55.1
8,BAL,KC,0.8509,NRFI,LEAN,LEAN NRFI,53.9,46.1
9,TOR,LAA,0.8182,PASS,NO EDGE,PASS,50.7,49.3
10,CIN,TB,0.7982,PASS,NO EDGE,PASS,47.7,52.3
