rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,BOS,BAL,1.2262,PASS,NO EDGE,PASS,49.1,50.9
2,CLE,TOR,1.1560,PASS,NO EDGE,PASS,52.3,47.7
3,NYY,HOU,1.0721,NRFI,LEAN,LEAN NRFI,58.1,41.9
4,CHC,LAD,1.0392,PASS,NO EDGE,PASS,49.4,50.6
5,WSH,CWS,1.0193,NRFI,LEAN,LEAN NRFI,53.2,46.8
6,OAK,TEX,1.0123,NRFI,LEAN,LEAN NRFI,58.3,41.7
7,DET,CIN,0.9967,PASS,NO EDGE,PASS,51.7,48.3
8,PHI,ATL,0.9756,PASS,NO EDGE,PASS,52.0,48.0
9,LAA,KC,0.9494,NRFI,LEAN,LEAN NRFI,53.9,46.1
10,SEA,STL,0.9069,NRFI,LEAN,LEAN NRFI,57.6,42.4
11,COL,NYM,0.8696,NRFI,STRONG,STRONG NRFI,63.3,36.7
12,MIA,SF,0.8572,YRFI,LEAN,LEAN YRFI,45.8,54.2
13,MIN,TB,0.8464,PASS,NO EDGE,PASS,49.3,50.7
14,PIT,MIL,0.7275,NRFI,LEAN,LEAN NRFI,56.7,43.3
