rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,CLE,COL,1.3312,YRFI,LEAN,LEAN YRFI,42.4,57.6,824317,1,N,8:40 PM ET
2,TB,BAL,1.0521,NRFI,LEAN,LEAN NRFI,51.6,48.4,824800,1,N,7:15 PM ET
3,CIN,ARI,1.0430,YRFI,STRONG,STRONG YRFI,39.0,61.0,825045,1,N,9:40 PM ET
4,MIN,SD,1.0402,PASS,NO EDGE,PASS,49.9,50.1,823262,1,N,9:40 PM ET
5,WSH,MIA,1.0454,YRFI,STRONG,STRONG YRFI,36.6,63.4,823830,1,N,7:10 PM ET
6,OAK,HOU,1.0450,NRFI,LEAN,LEAN NRFI,51.4,48.6,824152,1,N,8:10 PM ET
7,LAA,TEX,0.9768,NRFI,LEAN,LEAN NRFI,55.0,45.0,822857,1,N,8:15 PM ET
8,PIT,LAD,0.9575,PASS,NO EDGE,PASS,49.4,50.6,823911,1,N,10:10 PM ET
9,NYM,CWS,0.9653,YRFI,LEAN,LEAN YRFI,44.0,56.0,824559,1,N,7:40 PM ET
10,STL,PHI,0.9182,PASS,NO EDGE,PASS,47.1,52.9,823420,1,N,6:40 PM ET
11,CHC,SEA,0.9158,NRFI,LEAN,LEAN NRFI,50.5,49.5,823101,1,N,10:10 PM ET
12,TOR,NYY,0.8652,PASS,NO EDGE,PASS,48.7,51.3,823510,1,N,7:05 PM ET
13,DET,KC,0.8775,NRFI,LEAN,LEAN NRFI,60.4,39.6,824072,1,N,8:10 PM ET
14,SF,BOS,0.8109,NRFI,LEAN,LEAN NRFI,51.4,48.6,824721,1,N,7:10 PM ET
15,ATL,MIL,0.6987,NRFI,LEAN,LEAN NRFI,65.9,34.1,823746,1,N,4:10 PM ET
