rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,CIN,COL,1.3397,YRFI,STRONG,STRONG YRFI,32.2,67.8,824332,1,N,8:40 PM ET
2,MIN,CHC,1.1670,PASS,LOW LAMBDA,PASS,43.8,56.2,824655,1,N,8:05 PM ET
3,LAD,NYY,1.2094,YRFI,STRONG,STRONG YRFI,40.2,59.8,823524,1,N,7:05 PM ET
4,TB,BOS,1.0193,PASS,NO EDGE,PASS,47.9,52.0,824737,2,S,7:10 PM ET
5,STL,ARI,1.0941,YRFI,STRONG,STRONG YRFI,37.6,62.4,825060,1,N,9:40 PM ET
6,BAL,HOU,1.0666,PASS,NO EDGE,PASS,45.3,54.7,824170,1,N,8:10 PM ET
7,CWS,TOR,0.9996,PASS,NO EDGE,PASS,47.2,52.8,822789,1,N,7:15 PM ET
8,PIT,CLE,0.9811,NRFI,LEAN,LEAN NRFI,54.8,45.2,824414,1,N,7:10 PM ET
9,SD,KC,0.9616,NRFI,LEAN,LEAN NRFI,55.3,44.7,824090,1,N,8:10 PM ET
10,MIA,MIL,0.9622,NRFI,LEAN,LEAN NRFI,69.2,30.8,823766,1,N,7:40 PM ET
11,TB,BOS,0.9670,NRFI,LEAN,LEAN NRFI,54.8,45.2,824766,1,S,1:35 PM ET
12,TEX,ATL,0.9146,PASS,NO EDGE,PASS,47.9,52.0,824901,1,N,7:15 PM ET
13,DET,LAA,0.8976,YRFI,STRONG,STRONG YRFI,40.6,59.4,824009,1,N,9:38 PM ET
14,WSH,OAK,0.8931,YRFI,STRONG,STRONG YRFI,40.6,59.4,824981,1,N,9:40 PM ET
15,SF,SEA,0.8445,NRFI,LEAN,LEAN NRFI,54.8,45.2,823115,1,N,10:10 PM ET
