rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,TB,COL,1.3617,YRFI,STRONG,STRONG YRFI,28.7,71.3,824324,1,N,8:40 PM ET
2,PIT,MIL,1.2647,NRFI,LEAN,LEAN NRFI,62.0,38.0,823757,1,N,7:40 PM ET
3,TOR,HOU,1.2180,PASS,LINEUP PENDING,PASS,48.8,51.2,824160,1,N,8:10 PM ET
4,WSH,PHI,1.1583,PASS,NO EDGE,PASS,46.1,53.9,823431,1,N,6:40 PM ET
5,SF,TEX,1.0008,NRFI,LEAN,LEAN NRFI,53.9,46.1,822867,1,N,8:05 PM ET
6,SD,ARI,0.9545,PASS,LINEUP PENDING,PASS,42.3,57.7,825095,1,N,9:40 PM ET
7,LAD,CHC,0.9124,PASS,LINEUP PENDING,PASS,50.0,50.0,824647,1,N,8:05 PM ET
8,STL,NYY,0.8444,YRFI,LEAN,LEAN YRFI,44.0,56.0,823520,1,N,7:05 PM ET
