rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,LAA,NYY,1.2485,PASS,NO EDGE,PASS,50.6,49.4
2,COL,HOU,1.1577,NRFI,LEAN,LEAN NRFI,55.9,44.1
3,ARI,BAL,1.1052,NRFI,LEAN,LEAN NRFI,54.2,45.8
4,CLE,STL,1.0398,NRFI,STRONG,STRONG NRFI,60.2,39.8
5,WSH,PIT,1.0397,NRFI,STRONG,STRONG NRFI,61.8,38.2
6,MIA,ATL,1.0159,PASS,NO EDGE,PASS,49.0,51.0
7,BOS,MIN,1.0120,PASS,NO EDGE,PASS,49.9,50.1
8,SF,CIN,0.9854,PASS,NO EDGE,PASS,49.3,50.7
9,KC,DET,0.9580,NRFI,LEAN,LEAN NRFI,59.2,40.8
10,TB,CWS,0.9437,NRFI,LEAN,LEAN NRFI,53.2,46.8
11,TEX,OAK,0.9320,PASS,NO EDGE,PASS,48.6,51.4
12,TOR,MIL,0.8922,NRFI,LEAN,LEAN NRFI,54.6,45.4
13,CHC,PHI,0.8491,NRFI,LEAN,LEAN NRFI,55.4,44.6
14,SEA,SD,0.8397,PASS,NO EDGE,PASS,49.0,51.0
15,NYM,LAD,0.7788,YRFI,LEAN,LEAN YRFI,46.7,53.3
