rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,LAD,COL,1.5858,YRFI,STRONG,STRONG YRFI,28.7,71.3,824319,1,N,8:40 PM ET
2,LAA,HOU,1.2007,PASS,NO EDGE,PASS,48.4,51.6,824154,1,N,8:10 PM ET
3,WSH,TEX,1.1911,NRFI,LEAN,LEAN NRFI,51.6,48.4,822859,1,N,8:05 PM ET
4,ATL,MIN,1.1031,PASS,NO EDGE,PASS,48.5,51.5,823667,1,N,7:40 PM ET
5,STL,CIN,1.0951,PASS,NO EDGE,PASS,49.7,50.3,824475,1,N,6:40 PM ET
6,ARI,BOS,1.0857,NRFI,LEAN,LEAN NRFI,51.4,48.6,824723,1,N,7:10 PM ET
7,NYY,BAL,1.0465,PASS,NO EDGE,PASS,49.5,50.5,824803,1,N,6:35 PM ET
8,SF,CLE,1.0412,PASS,NO EDGE,PASS,48.3,51.7,824398,1,N,6:40 PM ET
9,SD,NYM,0.9907,NRFI,LEAN,LEAN NRFI,51.4,48.6,823586,1,N,7:10 PM ET
10,CWS,CHC,0.9664,PASS,NO EDGE,PASS,49.2,50.8,824639,1,N,8:05 PM ET
11,SEA,MIL,0.9469,NRFI,LEAN,LEAN NRFI,62.1,37.9,823749,1,N,7:40 PM ET
12,MIA,PHI,0.9256,NRFI,LEAN,LEAN NRFI,51.5,48.5,823423,1,N,6:40 PM ET
13,DET,PIT,0.8977,PASS,NO EDGE,PASS,49.3,50.7,823341,1,N,6:40 PM ET
14,OAK,KC,0.8836,NRFI,LEAN,LEAN NRFI,57.6,42.4,824075,1,N,7:40 PM ET
15,TOR,TB,0.8612,PASS,NO EDGE,PASS,49.4,50.6,822938,1,N,6:40 PM ET
