rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,WSH,CIN,1.2073,YRFI,LEAN,LEAN YRFI,44.0,56.0,824521,1,N,6:40 PM ET
2,CHC,ATL,1.0475,PASS,NO EDGE,PASS,44.0,56.0,824927,1,N,7:15 PM ET
3,ARI,TEX,0.9999,NRFI,LEAN,LEAN NRFI,52.7,47.3,822903,1,N,8:05 PM ET
4,LAA,CLE,0.9901,YRFI,LEAN,LEAN YRFI,44.0,56.0,824442,1,N,6:10 PM ET
5,SD,MIL,0.9856,NRFI,LEAN,LEAN NRFI,54.1,45.9,823790,1,N,7:40 PM ET
6,STL,OAK,0.9430,YRFI,LEAN,LEAN YRFI,44.0,56.0,825011,1,N,9:40 PM ET
7,KC,CWS,0.9325,YRFI,STRONG,STRONG YRFI,43.2,56.8,824604,1,N,7:40 PM ET
8,MIA,MIN,0.9630,NRFI,LEAN,LEAN NRFI,52.7,47.3,823712,1,N,7:40 PM ET
9,NYY,BAL,0.8980,YRFI,STRONG,STRONG YRFI,43.4,56.6,824843,1,N,6:35 PM ET
10,DET,NYM,0.8878,NRFI,LEAN,LEAN NRFI,52.9,47.1,823632,1,N,7:10 PM ET
11,SEA,HOU,0.8718,NRFI,LEAN,LEAN NRFI,50.4,49.6,824197,1,N,8:10 PM ET
12,TB,TOR,0.8772,NRFI,LEAN,LEAN NRFI,50.0,50.0,822817,1,N,7:07 PM ET
13,PHI,BOS,0.8594,YRFI,LEAN,LEAN YRFI,44.0,56.0,824764,1,N,6:45 PM ET
14,SF,LAD,0.8435,PASS,NO EDGE,PASS,44.4,55.6,823951,1,N,10:10 PM ET
15,COL,PIT,0.8269,NRFI,LEAN,LEAN NRFI,50.0,50.0,823385,1,N,6:40 PM ET
