rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,BOS,STL,1.1606,NRFI,LEAN,LEAN NRFI,57.6,42.4
2,PIT,CHC,1.1262,NRFI,LEAN,LEAN NRFI,57.0,43.0
3,MIN,TOR,1.1257,PASS,NO EDGE,PASS,52.3,47.7
4,WSH,MIL,1.1144,NRFI,LEAN,LEAN NRFI,56.7,43.3
5,SF,BAL,0.9993,PASS,NO EDGE,PASS,51.8,48.2
6,TEX,LAD,0.9924,PASS,NO EDGE,PASS,47.6,52.4
7,LAA,CIN,0.9531,PASS,NO EDGE,PASS,51.7,48.3
8,ARI,PHI,0.9247,PASS,NO EDGE,PASS,48.0,52.0
9,CLE,ATL,0.9085,NRFI,LEAN,LEAN NRFI,54.6,45.4
10,HOU,SEA,0.8579,NRFI,STRONG,STRONG NRFI,67.4,32.6
11,OAK,NYM,0.8405,NRFI,STRONG,STRONG NRFI,63.3,36.7
12,CWS,KC,0.8059,NRFI,LEAN,LEAN NRFI,53.9,46.1
13,COL,SD,0.7367,NRFI,LEAN,LEAN NRFI,57.0,43.0
14,MIA,DET,0.7192,NRFI,LEAN,LEAN NRFI,53.2,46.8
15,NYY,TB,0.7014,PASS,NO EDGE,PASS,49.3,50.7
