rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,WSH,ATL,1.2198,PASS,LINEUP PENDING,PASS,49.0,51.0,824922,1,N,7:15 PM ET
2,STL,CIN,1.2008,PASS,LINEUP PENDING,PASS,47.4,52.6,824518,1,N,6:40 PM ET
3,DET,BAL,1.1918,PASS,LINEUP PENDING,PASS,48.3,51.7,824842,1,N,7:15 PM ET
4,HOU,CHC,1.1874,PASS,LINEUP PENDING,PASS,49.0,51.0,824679,1,N,2:20 PM ET
5,COL,ARI,1.0544,PASS,LINEUP PENDING,PASS,43.5,56.5,825082,1,N,9:40 PM ET
6,OAK,SD,1.0293,PASS,LINEUP PENDING,PASS,49.0,51.0,823298,1,N,9:40 PM ET
7,PIT,TOR,1.0052,PASS,LINEUP PENDING,PASS,53.7,46.3,822816,1,N,7:07 PM ET
8,TB,NYY,0.9759,PASS,LINEUP PENDING,PASS,41.9,58.1,823546,1,N,7:05 PM ET
9,NYM,MIA,0.9743,PASS,LINEUP PENDING,PASS,43.5,56.5,823863,1,N,7:10 PM ET
10,MIN,BOS,0.9542,PASS,LINEUP PENDING,PASS,48.7,51.3,824761,1,N,7:10 PM ET
11,LAD,MIL,0.9294,NRFI,STRONG,STRONG NRFI,60.2,39.8,823788,1,N,7:40 PM ET
12,TEX,LAA,0.9179,YRFI,STRONG,STRONG YRFI,38.4,61.6,824029,1,N,9:38 PM ET
13,SEA,KC,0.9141,PASS,LINEUP PENDING,PASS,54.3,45.7,824110,1,N,7:40 PM ET
14,CLE,PHI,0.8772,NRFI,STRONG,STRONG NRFI,57.2,42.8,823461,1,N,6:40 PM ET
15,CWS,SF,0.7697,PASS,LINEUP PENDING,PASS,49.0,51.0,823223,1,N,10:15 PM ET
