rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,CIN,COL,1.2120,YRFI,STRONG,STRONG YRFI,32.2,67.8,824330,1,N,3:10 PM ET
2,SD,KC,1.1556,PASS,NO EDGE,PASS,47.7,52.3,824086,1,N,2:10 PM ET
3,MIN,CHC,1.1370,PASS,NO EDGE,PASS,47.7,52.3,824653,1,N,2:20 PM ET
4,WSH,OAK,1.1373,YRFI,STRONG,STRONG YRFI,40.6,59.4,824978,1,N,4:05 PM ET
5,MIA,MIL,1.1376,NRFI,LEAN,LEAN NRFI,58.8,41.2,823764,1,N,2:10 PM ET
6,BAL,HOU,1.0781,PASS,NO EDGE,PASS,47.7,52.3,824168,1,N,2:10 PM ET
7,LAD,NYY,1.0705,PASS,STARTER PENDING,PASS,40.6,59.4,823521,2,S,7:20 PM ET
8,TEX,ATL,1.0328,PASS,NO EDGE,PASS,47.7,52.3,824897,1,N,1:35 PM ET
9,STL,ARI,1.0369,YRFI,STRONG,STRONG YRFI,40.6,59.4,825057,1,N,4:10 PM ET
10,CWS,TOR,1.0435,PASS,NO EDGE,PASS,48.6,51.4,822786,1,N,12:15 PM ET
11,NYM,PHI,0.9739,YRFI,STRONG,STRONG YRFI,40.6,59.4,823439,1,N,1:35 PM ET
12,DET,LAA,0.9712,YRFI,STRONG,STRONG YRFI,39.8,60.2,824007,1,N,4:07 PM ET
13,TB,BOS,0.8931,NRFI,LEAN,LEAN NRFI,53.5,46.5,824739,1,N,1:35 PM ET
14,SF,SEA,0.9139,NRFI,LEAN,LEAN NRFI,56.9,43.1,823113,1,N,4:10 PM ET
15,PIT,CLE,0.8895,NRFI,LEAN,LEAN NRFI,56.7,43.3,824411,1,N,1:40 PM ET
16,LAD,NYY,0.8395,PASS,NO EDGE,PASS,45.4,54.6,823523,1,S,12:35 PM ET
