rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,PHI,COL,1.4184,YRFI,STRONG,STRONG YRFI,38.0,62.0
2,LAD,WSH,1.1627,NRFI,LEAN,LEAN NRFI,54.0,46.0
3,HOU,OAK,1.1576,PASS,NO EDGE,PASS,51.2,48.8
4,TB,MIN,1.0020,PASS,NO EDGE,PASS,49.9,50.1
5,SD,BOS,1.0010,YRFI,LEAN,LEAN YRFI,46.3,53.7
6,CHC,CLE,0.9937,PASS,NO EDGE,PASS,51.1,48.9
7,CIN,TEX,0.9885,NRFI,STRONG,STRONG NRFI,61.0,39.0
8,ATL,ARI,0.9881,YRFI,LEAN,LEAN YRFI,43.8,56.2
9,SEA,LAA,0.9834,YRFI,LEAN,LEAN YRFI,46.8,53.2
10,TOR,CWS,0.9354,PASS,NO EDGE,PASS,48.5,51.5
11,BAL,PIT,0.9105,NRFI,LEAN,LEAN NRFI,54.8,45.2
12,STL,DET,0.9078,PASS,NO EDGE,PASS,48.0,52.0
13,MIL,KC,0.8270,NRFI,LEAN,LEAN NRFI,56.5,43.5
14,NYM,SF,0.8138,PASS,NO EDGE,PASS,51.2,48.8
15,CHC,CLE,0.7675,PASS,NO EDGE,PASS,50.0,50.0
16,MIA,NYY,0.7632,PASS,NO EDGE,PASS,49.3,50.7
