rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,CWS,MIA,0.9487,YRFI,STRONG,STRONG YRFI,38.2,61.8
2,OAK,ATL,0.9396,NRFI,LEAN,LEAN NRFI,54.6,45.4
3,BOS,HOU,0.9326,NRFI,LEAN,LEAN NRFI,56.5,43.5
4,NYM,STL,0.9307,NRFI,LEAN,LEAN NRFI,57.2,42.8
5,LAA,CHC,0.9301,NRFI,LEAN,LEAN NRFI,58.5,41.5
6,CLE,LAD,0.9031,PASS,NO EDGE,PASS,47.1,52.9
7,TB,MIL,0.9025,NRFI,STRONG,STRONG NRFI,65.7,34.3
8,TEX,BAL,0.8606,PASS,NO EDGE,PASS,49.8,50.2
9,PIT,CIN,0.8491,PASS,NO EDGE,PASS,51.7,48.3
10,WSH,PHI,0.8391,NRFI,LEAN,LEAN NRFI,53.5,46.5
11,MIN,KC,0.8226,NRFI,LEAN,LEAN NRFI,53.9,46.1
12,COL,TOR,0.7720,PASS,NO EDGE,PASS,52.7,47.3
13,SF,SD,0.7647,NRFI,LEAN,LEAN NRFI,57.0,43.0
14,DET,ARI,0.7333,YRFI,LEAN,LEAN YRFI,43.4,56.6
15,NYY,SEA,0.6882,NRFI,STRONG,STRONG NRFI,61.6,38.4
