rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,PHI,COL,1.1915,YRFI,STRONG,STRONG YRFI,39.7,60.3
2,ATL,ARI,1.1566,YRFI,LEAN,LEAN YRFI,45.7,54.3
3,LAD,WSH,1.1031,PASS,NO EDGE,PASS,51.7,48.3
4,CIN,TEX,1.0137,NRFI,STRONG,STRONG NRFI,65.4,34.6
5,HOU,OAK,0.9866,YRFI,LEAN,LEAN YRFI,45.2,54.8
6,MIA,NYY,0.9844,NRFI,LEAN,LEAN NRFI,56.6,43.4
7,TB,MIN,0.9413,PASS,NO EDGE,PASS,49.1,50.9
8,MIL,KC,0.9062,NRFI,LEAN,LEAN NRFI,54.0,46.0
9,SD,BOS,0.9000,PASS,NO EDGE,PASS,47.7,52.3
10,CHC,CLE,0.8728,NRFI,LEAN,LEAN NRFI,56.4,43.6
11,STL,DET,0.8618,PASS,NO EDGE,PASS,49.4,50.6
12,BAL,PIT,0.8576,PASS,NO EDGE,PASS,50.6,49.4
13,TOR,CWS,0.7695,NRFI,LEAN,LEAN NRFI,56.2,43.8
14,NYM,SF,0.7643,PASS,NO EDGE,PASS,52.2,47.8
15,SEA,LAA,0.7637,PASS,NO EDGE,PASS,50.7,49.3
