rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,CHC,LAD,1.1666,PASS,NO EDGE,PASS,48.4,51.6
2,DET,CIN,1.1645,PASS,NO EDGE,PASS,52.1,47.9
3,SD,ARI,1.0876,YRFI,LEAN,LEAN YRFI,43.4,56.6
4,COL,NYM,1.0784,NRFI,STRONG,STRONG NRFI,63.3,36.7
5,NYY,HOU,1.0411,NRFI,LEAN,LEAN NRFI,57.8,42.2
6,LAA,KC,1.0277,NRFI,STRONG,STRONG NRFI,63.6,36.4
7,OAK,TEX,1.0246,NRFI,STRONG,STRONG NRFI,65.4,34.6
8,WSH,CWS,1.0161,NRFI,LEAN,LEAN NRFI,53.0,47.0
9,MIN,TB,0.9011,PASS,NO EDGE,PASS,50.6,49.4
10,PIT,MIL,0.8946,NRFI,STRONG,STRONG NRFI,65.3,34.7
11,MIA,SF,0.8941,NRFI,LEAN,LEAN NRFI,55.4,44.6
12,SEA,STL,0.8888,NRFI,LEAN,LEAN NRFI,57.2,42.8
13,BOS,BAL,0.8422,PASS,NO EDGE,PASS,49.8,50.2
14,CLE,TOR,0.8173,PASS,NO EDGE,PASS,52.7,47.3
15,PHI,ATL,0.7683,PASS,NO EDGE,PASS,47.4,52.6
