rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,LAA,CWS,1.1394,YRFI,LEAN,LEAN YRFI,41.8,58.2,824609,1,N,7:40 PM ET
2,STL,PIT,0.9849,NRFI,STRONG,STRONG NRFI,61.5,38.5,823395,1,N,6:40 PM ET
3,MIA,LAD,0.9134,YRFI,LEAN,LEAN YRFI,41.8,58.2,823961,1,N,10:10 PM ET
4,NYY,TEX,0.8832,NRFI,STRONG,STRONG NRFI,62.4,37.6,822906,1,N,8:05 PM ET
5,SEA,MIN,0.8565,PASS,NO EDGE,PASS,51.6,48.4,823719,1,N,7:40 PM ET
6,BOS,TOR,0.8063,NRFI,STRONG,STRONG NRFI,61.2,38.8,822825,1,N,7:07 PM ET
7,TB,CLE,0.8044,YRFI,LEAN,LEAN YRFI,46.7,53.3,824446,1,N,6:10 PM ET
8,CHC,SD,0.7825,YRFI,LEAN,LEAN YRFI,45.6,54.4,823311,1,N,9:40 PM ET
