rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,BAL,TOR,1.1895,PASS,LINEUP PENDING,PASS,50.2,49.8,822767,1,N,7:07 PM ET
2,CIN,MIL,1.1546,NRFI,LEAN,LEAN NRFI,50.5,49.5,823736,1,N,7:45 PM ET
3,TEX,ARI,1.1255,PASS,LINEUP PENDING,PASS,48.1,51.9,825036,1,N,9:40 PM ET
4,COL,DET,1.0922,NRFI,LEAN,LEAN NRFI,54.9,45.1,824227,1,N,6:40 PM ET
5,PIT,CHC,1.0804,PASS,NO EDGE,PASS,46.7,53.3,824631,1,N,2:20 PM ET
6,CWS,STL,1.0694,NRFI,LEAN,LEAN NRFI,50.2,49.8,823012,1,N,8:15 PM ET
7,SEA,OAK,1.0416,PASS,LINEUP PENDING,PASS,48.9,51.1,824954,1,N,9:40 PM ET
8,LAD,MIA,1.0331,PASS,LINEUP PENDING,PASS,50.1,49.9,823817,1,N,7:10 PM ET
9,KC,BOS,1.0330,YRFI,LEAN,LEAN YRFI,42.7,57.3,824711,1,N,7:10 PM ET
10,SD,SF,1.0282,PASS,LINEUP PENDING,PASS,54.6,45.4,823173,1,N,10:15 PM ET
11,LAA,WSH,0.9876,NRFI,LEAN,LEAN NRFI,53.0,47.0,822684,1,N,6:45 PM ET
12,NYM,NYY,0.9829,NRFI,LEAN,LEAN NRFI,52.4,47.6,823498,1,N,7:05 PM ET
13,CLE,MIN,0.8984,NRFI,LEAN,LEAN NRFI,52.7,47.3,823659,1,N,8:10 PM ET
14,PHI,ATL,0.8566,NRFI,LEAN,LEAN NRFI,55.9,44.1,824873,1,N,7:15 PM ET
15,HOU,TB,0.8126,NRFI,LEAN,LEAN NRFI,52.8,47.2,822930,1,N,7:10 PM ET
