rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,HOU,COL,1.3238,YRFI,LEAN,LEAN YRFI,41.6,58.4
2,STL,WSH,1.1986,PASS,NO EDGE,PASS,51.9,48.1
3,SD,PIT,1.0986,NRFI,LEAN,LEAN NRFI,54.4,45.6
4,MIL,BOS,1.0938,PASS,NO EDGE,PASS,47.3,52.7
5,LAD,TOR,1.0480,PASS,NO EDGE,PASS,52.3,47.7
6,CHC,TB,1.0026,PASS,NO EDGE,PASS,50.6,49.4
7,BAL,CWS,0.8769,NRFI,LEAN,LEAN NRFI,56.2,43.8
8,CIN,MIA,0.8731,YRFI,STRONG,STRONG YRFI,35.0,65.0
9,KC,CLE,0.8223,PASS,NO EDGE,PASS,51.4,48.6
10,PHI,SF,0.8110,YRFI,LEAN,LEAN YRFI,45.8,54.2
11,SEA,TEX,0.7996,NRFI,STRONG,STRONG NRFI,62.6,37.4
12,ATL,LAA,0.7977,PASS,NO EDGE,PASS,49.6,50.4
13,DET,MIN,0.7823,NRFI,LEAN,LEAN NRFI,53.7,46.3
