rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,STL,COL,1.3896,YRFI,STRONG,STRONG YRFI,34.8,65.2,824311,1,N,8:40 PM ET
2,ARI,HOU,1.1868,PASS,NO EDGE,PASS,48.5,51.5,824146,1,N,8:10 PM ET
3,MIL,CIN,1.1766,PASS,NO EDGE,PASS,48.7,51.3,824471,1,N,6:10 PM ET
4,MIN,CWS,1.1705,YRFI,STRONG,STRONG YRFI,40.9,59.1,824554,1,N,7:40 PM ET
5,TOR,KC,1.1014,PASS,NO EDGE,PASS,49.3,50.7,824067,1,N,8:10 PM ET
6,LAA,PIT,1.1001,NRFI,LEAN,LEAN NRFI,52.8,47.2,823338,1,N,6:45 PM ET
7,WSH,LAD,1.0326,PASS,NO EDGE,PASS,47.8,52.2,823905,1,N,10:10 PM ET
8,TB,TEX,0.9994,NRFI,LEAN,LEAN NRFI,50.8,49.2,822852,1,N,8:05 PM ET
9,OAK,SEA,0.9962,NRFI,LEAN,LEAN NRFI,51.3,48.7,823093,1,N,10:10 PM ET
10,SF,NYM,0.9598,NRFI,LEAN,LEAN NRFI,54.3,45.7,823579,1,N,7:10 PM ET
11,CHC,MIA,0.9524,PASS,NO EDGE,PASS,48.9,51.1,823824,1,N,7:10 PM ET
12,BOS,BAL,0.9406,NRFI,LEAN,LEAN NRFI,56.2,43.8,824797,1,N,7:05 PM ET
13,DET,CLE,0.9353,NRFI,LEAN,LEAN NRFI,54.0,46.0,824424,1,S,2:10 PM ET
14,DET,CLE,0.9084,NRFI,LEAN,LEAN NRFI,54.3,45.7,824387,2,S,7:15 PM ET
15,NYY,SD,0.8845,NRFI,LEAN,LEAN NRFI,51.5,48.5,823256,1,N,9:40 PM ET
16,ATL,PHI,0.7014,NRFI,LEAN,LEAN NRFI,56.1,43.9,823418,1,N,6:40 PM ET
