rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,PHI,MIN,1.1413,PASS,NO EDGE,PASS,48.6,51.4,823670,1,N,2:10 PM ET
2,STL,CHC,1.1043,PASS,NO EDGE,PASS,48.3,51.7,824642,1,N,3:15 PM ET
3,WSH,NYM,1.0865,YRFI,LEAN,LEAN YRFI,42.2,57.8,823590,1,N,1:40 PM ET
4,KC,LAA,1.0964,YRFI,STRONG,STRONG YRFI,41.7,58.3,823991,1,N,4:07 PM ET
5,MIA,CIN,1.0705,PASS,NO EDGE,PASS,47.4,52.6,824477,1,N,1:40 PM ET
6,BOS,PIT,1.0497,NRFI,LEAN,LEAN NRFI,50.1,49.9,823344,1,N,1:35 PM ET
7,TEX,OAK,1.0043,YRFI,LEAN,LEAN YRFI,44.3,55.7,824965,1,N,4:05 PM ET
8,CWS,DET,0.9804,YRFI,LEAN,LEAN YRFI,43.2,56.8,824236,1,N,1:40 PM ET
9,ARI,ATL,0.9843,PASS,NO EDGE,PASS,48.2,51.8,824880,1,N,1:35 PM ET
10,COL,SF,0.8767,PASS,NO EDGE,PASS,49.4,50.6,823182,1,N,4:05 PM ET
11,BAL,TB,0.9163,PASS,NO EDGE,PASS,48.1,51.9,822940,1,N,12:15 PM ET
12,SEA,HOU,0.8887,NRFI,LEAN,LEAN NRFI,50.9,49.0,824156,1,N,7:20 PM ET
13,NYY,TOR,0.9081,NRFI,LEAN,LEAN NRFI,53.1,46.9,822774,1,N,1:37 PM ET
14,SD,CLE,0.8418,NRFI,LEAN,LEAN NRFI,51.7,48.2,824397,1,N,1:40 PM ET
15,MIL,LAD,0.7833,NRFI,LEAN,LEAN NRFI,51.5,48.5,823912,1,N,4:10 PM ET
