rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,COL,HOU,1.0932,NRFI,LEAN,LEAN NRFI,57.8,42.2
2,TOR,MIL,1.0515,NRFI,LEAN,LEAN NRFI,56.5,43.5
3,TB,CWS,1.0321,NRFI,LEAN,LEAN NRFI,57.3,42.7
4,TEX,OAK,1.0157,PASS,NO EDGE,PASS,51.2,48.8
5,SEA,SD,0.9566,PASS,NO EDGE,PASS,52.2,47.8
6,SF,CIN,0.9093,NRFI,LEAN,LEAN NRFI,57.9,42.1
7,WSH,PIT,0.8687,NRFI,LEAN,LEAN NRFI,54.8,45.2
8,LAA,NYY,0.8487,PASS,NO EDGE,PASS,49.3,50.7
9,BAL,CLE,0.8235,PASS,NO EDGE,PASS,50.0,50.0
10,KC,DET,0.8045,PASS,NO EDGE,PASS,48.0,52.0
