rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,LAD,COL,1.4674,YRFI,STRONG,STRONG YRFI,33.9,66.1,824318,1,N,8:40 PM ET
2,OAK,KC,1.1792,NRFI,LEAN,LEAN NRFI,54.5,45.5,824076,1,N,7:40 PM ET
3,NYY,BAL,1.1456,PASS,NO EDGE,PASS,45.8,54.2,824801,1,N,6:35 PM ET
4,WSH,TEX,1.1580,NRFI,LEAN,LEAN NRFI,52.3,47.6,822860,1,N,8:05 PM ET
5,MIA,PHI,1.0931,PASS,NO EDGE,PASS,48.4,51.6,823424,1,N,6:05 PM ET
6,ATL,MIN,1.0669,NRFI,LEAN,LEAN NRFI,50.0,50.0,823664,1,N,1:40 PM ET
7,STL,CIN,1.0633,PASS,NO EDGE,PASS,46.8,53.2,824476,1,N,6:40 PM ET
8,TOR,TB,0.9625,YRFI,LEAN,LEAN YRFI,43.0,57.0,822937,1,N,6:40 PM ET
9,LAA,HOU,0.9692,PASS,NO DATA,PASS,49.8,50.2,824155,1,N,8:10 PM ET
10,DET,PIT,0.9704,PASS,NO EDGE,PASS,48.8,51.2,823342,1,N,12:35 PM ET
11,SD,NYM,0.9738,PASS,NO EDGE,PASS,49.0,51.0,823587,1,N,1:10 PM ET
12,SEA,MIL,0.9300,NRFI,LEAN,LEAN NRFI,59.2,40.8,823748,1,N,7:40 PM ET
13,ARI,BOS,0.9331,NRFI,LEAN,LEAN NRFI,52.5,47.4,824722,1,N,4:10 PM ET
14,CWS,CHC,0.9072,PASS,NO EDGE,PASS,48.3,51.7,824640,1,N,2:20 PM ET
15,SF,CLE,0.8329,PASS,NO DATA,PASS,55.7,44.3,824394,1,N,6:40 PM ET
