rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,STL,COL,1.3799,YRFI,STRONG,STRONG YRFI,34.8,65.2,824310,1,N,8:10 PM ET
2,MIL,CIN,1.2149,PASS,NO EDGE,PASS,48.6,51.4,824468,1,N,6:40 PM ET
3,TOR,KC,1.1220,YRFI,STRONG,STRONG YRFI,39.8,60.2,824066,1,N,7:10 PM ET
4,OAK,SEA,1.1028,NRFI,LEAN,LEAN NRFI,52.9,47.1,823094,1,N,9:40 PM ET
5,MIN,CWS,1.0830,PASS,NO EDGE,PASS,47.6,52.4,824553,1,N,7:10 PM ET
6,CHC,MIA,1.0515,PASS,NO EDGE,PASS,48.9,51.1,823823,1,N,4:10 PM ET
7,BOS,BAL,1.0395,NRFI,LEAN,LEAN NRFI,54.3,45.7,824795,1,N,7:05 PM ET
8,ATL,PHI,1.0074,PASS,NO EDGE,PASS,49.6,50.4,823419,1,N,6:05 PM ET
9,ARI,HOU,1.0603,PASS,NO EDGE,PASS,49.6,50.4,824145,1,N,7:15 PM ET
10,NYY,SD,1.0101,NRFI,LEAN,LEAN NRFI,53.4,46.6,823257,1,N,7:15 PM ET
11,SF,NYM,0.9504,PASS,NO EDGE,PASS,48.9,51.0,823577,1,N,4:10 PM ET
12,LAA,PIT,0.9591,NRFI,LEAN,LEAN NRFI,54.5,45.5,823335,1,N,6:40 PM ET
13,WSH,LAD,0.9050,NRFI,LEAN,LEAN NRFI,53.3,46.7,823904,1,N,9:10 PM ET
14,TB,TEX,0.8708,NRFI,LEAN,LEAN NRFI,53.7,46.3,822850,1,N,7:05 PM ET
15,DET,CLE,0.8645,NRFI,LEAN,LEAN NRFI,54.9,45.1,824389,1,N,6:10 PM ET
