rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,WSH,ATL,1.3039,PASS,LOW LAMBDA,PASS,40.8,59.2,824920,1,N,4:10 PM ET
2,LAD,MIL,1.2147,NRFI,STRONG,STRONG NRFI,56.4,43.6,823787,1,N,7:15 PM ET
3,STL,CIN,1.2579,YRFI,STRONG,STRONG YRFI,38.4,61.6,824518,1,S,1:10 PM ET
4,STL,CIN,1.1370,PASS,LOW LAMBDA,PASS,40.5,59.5,824516,2,S,7:15 PM ET
5,DET,BAL,1.1536,PASS,LINEUP PENDING,PASS,48.3,51.7,824840,1,N,4:05 PM ET
6,COL,ARI,1.1592,PASS,NO EDGE,PASS,44.8,55.2,825080,1,N,10:10 PM ET
7,MIN,BOS,1.0809,PASS,NO EDGE,PASS,49.0,51.0,824760,1,N,4:10 PM ET
8,HOU,CHC,1.0143,PASS,NO EDGE,PASS,49.0,51.0,824674,1,N,2:20 PM ET
9,OAK,SD,0.9604,PASS,NO EDGE,PASS,49.0,51.0,823300,1,N,9:40 PM ET
10,TB,NYY,0.9682,PASS,LINEUP PENDING,PASS,48.2,51.8,823543,1,N,1:35 PM ET
11,TEX,LAA,0.9098,PASS,NO EDGE,PASS,47.9,52.1,824030,1,N,10:05 PM ET
12,CWS,SF,0.9398,PASS,LOW LAMBDA,PASS,41.4,58.6,823222,1,N,4:05 PM ET
13,CLE,PHI,0.9353,PASS,NO EDGE,PASS,48.8,51.2,823458,1,N,4:05 PM ET
14,NYM,MIA,0.8871,NRFI,STRONG,STRONG NRFI,59.3,40.7,823862,1,N,4:10 PM ET
15,PIT,TOR,0.8564,NRFI,STRONG,STRONG NRFI,60.3,39.7,822814,1,N,3:07 PM ET
16,SEA,KC,0.8068,NRFI,LEAN,LEAN NRFI,53.6,46.4,824109,1,N,4:10 PM ET
