rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,LAD,COL,1.4678,YRFI,STRONG,STRONG YRFI,39.7,60.3
2,STL,HOU,1.1279,NRFI,LEAN,LEAN NRFI,57.8,42.2
3,KC,NYY,1.0451,NRFI,LEAN,LEAN NRFI,54.8,45.2
4,ATL,PHI,1.0397,PASS,NO EDGE,PASS,47.9,52.1
5,SD,LAA,0.9852,PASS,NO EDGE,PASS,48.8,51.2
6,SF,WSH,0.9818,NRFI,LEAN,LEAN NRFI,54.7,45.3
7,CIN,MIN,0.9341,PASS,NO EDGE,PASS,49.1,50.9
8,MIL,MIA,0.9114,YRFI,LEAN,LEAN YRFI,46.4,53.6
9,NYM,CHC,0.9089,PASS,NO EDGE,PASS,53.0,47.0
10,DET,BOS,0.8822,NRFI,LEAN,LEAN NRFI,55.6,44.4
11,CWS,OAK,0.8689,YRFI,LEAN,LEAN YRFI,45.4,54.6
12,TB,PIT,0.8683,PASS,NO EDGE,PASS,50.4,49.6
13,BAL,CLE,0.8244,NRFI,LEAN,LEAN NRFI,56.4,43.6
14,TEX,SEA,0.8086,NRFI,STRONG,STRONG NRFI,61.6,38.4
15,TOR,ARI,0.8000,YRFI,LEAN,LEAN YRFI,46.5,53.5
