category,metric,today,baseline,delta,severity,note
categorical,home_pitcher_q=avg,0.1333,0.0206,+0.1127,LOW,home_pitcher_q=avg: today=13.3% baseline=2.1% shift=+11.3%
categorical,home_pitcher_q=live,0.4667,0.5052,-0.0385,OK,home_pitcher_q=live: today=46.7% baseline=50.5% shift=-3.8%
categorical,home_pitcher_q=ltd,0.4000,0.3505,+0.0495,OK,home_pitcher_q=ltd: today=40.0% baseline=35.1% shift=+4.9%
categorical,home_pitcher_q=sm,0.0000,0.1237,-0.1237,LOW,home_pitcher_q=sm: today=0.0% baseline=12.4% shift=-12.4%
categorical,away_pitcher_q=avg,0.0000,0.0206,-0.0206,OK,away_pitcher_q=avg: today=0.0% baseline=2.1% shift=-2.1%
categorical,away_pitcher_q=live,0.7333,0.4330,+0.3003,HIGH,away_pitcher_q=live: today=73.3% baseline=43.3% shift=+30.0%
categorical,away_pitcher_q=ltd,0.1333,0.3814,-0.2481,MEDIUM,away_pitcher_q=ltd: today=13.3% baseline=38.1% shift=-24.8%
categorical,away_pitcher_q=sm,0.1333,0.1649,-0.0316,OK,away_pitcher_q=sm: today=13.3% baseline=16.5% shift=-3.2%
categorical,home_top3c_source=lineup,0.9333,0.9897,-0.0564,OK,home_top3c_source=lineup: today=93.3% baseline=99.0% shift=-5.6%
categorical,home_top3c_source=team_fallback,0.0667,0.0103,+0.0564,OK,home_top3c_source=team_fallback: today=6.7% baseline=1.0% shift=+5.6%
categorical,away_top3c_source=lineup,0.9333,0.9794,-0.0460,OK,away_top3c_source=lineup: today=93.3% baseline=97.9% shift=-4.6%
categorical,away_top3c_source=team_fallback,0.0667,0.0206,+0.0460,OK,away_top3c_source=team_fallback: today=6.7% baseline=2.1% shift=+4.6%
numeric_mean,home_xera_mean,3.8018,4.1688,z=-0.39,OK,home_xera mean 3.802 vs baseline 4.169 (z=-0.39)
numeric_mean,away_xera_mean,3.6427,4.2327,z=-0.39,OK,away_xera mean 3.643 vs baseline 4.233 (z=-0.39)
numeric_mean,home_whiff_pct_rank_mean,66.8667,43.9381,z=+0.95,OK,home_whiff_pct_rank mean 66.867 vs baseline 43.938 (z=+0.95)
numeric_mean,away_whiff_pct_rank_mean,48.6000,53.7320,z=-0.19,OK,away_whiff_pct_rank mean 48.600 vs baseline 53.732 (z=-0.19)
numeric_mean,home_top3c_obp_mean,0.3416,0.3486,z=-0.28,OK,home_top3c_obp mean 0.342 vs baseline 0.349 (z=-0.28)
numeric_mean,away_top3c_obp_mean,0.3560,0.3480,z=+0.34,OK,away_top3c_obp mean 0.356 vs baseline 0.348 (z=+0.34)
numeric_mean,home_top3c_iso_mean,0.1725,0.1841,z=-0.23,OK,home_top3c_iso mean 0.172 vs baseline 0.184 (z=-0.23)
numeric_mean,away_top3c_iso_mean,0.1896,0.1830,z=+0.18,OK,away_top3c_iso mean 0.190 vs baseline 0.183 (z=+0.18)
numeric_mean,home_p_last5_pitcher_nrfi_mean,0.7067,0.7265,z=-0.09,OK,home_p_last5_pitcher_nrfi mean 0.707 vs baseline 0.726 (z=-0.09)
numeric_mean,away_p_last5_pitcher_nrfi_mean,0.7111,0.6790,z=+0.13,OK,away_p_last5_pitcher_nrfi mean 0.711 vs baseline 0.679 (z=+0.13)
numeric_mean,home_p_last10_pitcher_nrfi_mean,0.6533,0.7237,z=-0.40,OK,home_p_last10_pitcher_nrfi mean 0.653 vs baseline 0.724 (z=-0.40)
numeric_mean,away_p_last10_pitcher_nrfi_mean,0.6854,0.6773,z=+0.05,OK,away_p_last10_pitcher_nrfi mean 0.685 vs baseline 0.677 (z=+0.05)
pick_cluster,max_cluster_size,6,-,-,HIGH,largest cluster of picks within 0.005 calibrated P(NRFI): 6 (>=4 = HIGH; >=3 = MEDIUM)
