category,metric,today,baseline,delta,severity,note
categorical,home_pitcher_q=avg,0.0000,0.0217,-0.0217,OK,home_pitcher_q=avg: today=0.0% baseline=2.2% shift=-2.2%
categorical,home_pitcher_q=live,0.8000,0.5761,+0.2239,MEDIUM,home_pitcher_q=live: today=80.0% baseline=57.6% shift=+22.4%
categorical,home_pitcher_q=ltd,0.2000,0.2935,-0.0935,OK,home_pitcher_q=ltd: today=20.0% baseline=29.3% shift=-9.3%
categorical,home_pitcher_q=sm,0.0000,0.1087,-0.1087,LOW,home_pitcher_q=sm: today=0.0% baseline=10.9% shift=-10.9%
categorical,away_pitcher_q=avg,0.0000,0.0109,-0.0109,OK,away_pitcher_q=avg: today=0.0% baseline=1.1% shift=-1.1%
categorical,away_pitcher_q=live,0.7333,0.7174,+0.0159,OK,away_pitcher_q=live: today=73.3% baseline=71.7% shift=+1.6%
categorical,away_pitcher_q=ltd,0.0667,0.1848,-0.1181,LOW,away_pitcher_q=ltd: today=6.7% baseline=18.5% shift=-11.8%
categorical,away_pitcher_q=sm,0.2000,0.0870,+0.1130,LOW,away_pitcher_q=sm: today=20.0% baseline=8.7% shift=+11.3%
categorical,home_top3c_source=lineup,1.0000,0.9783,+0.0217,OK,home_top3c_source=lineup: today=100.0% baseline=97.8% shift=+2.2%
categorical,home_top3c_source=team_fallback,0.0000,0.0217,-0.0217,OK,home_top3c_source=team_fallback: today=0.0% baseline=2.2% shift=-2.2%
categorical,away_top3c_source=lineup,1.0000,0.9783,+0.0217,OK,away_top3c_source=lineup: today=100.0% baseline=97.8% shift=+2.2%
categorical,away_top3c_source=team_fallback,0.0000,0.0217,-0.0217,OK,away_top3c_source=team_fallback: today=0.0% baseline=2.2% shift=-2.2%
numeric_mean,home_xera_mean,4.4641,3.9480,z=+0.47,OK,home_xera mean 4.464 vs baseline 3.948 (z=+0.47)
numeric_mean,away_xera_mean,3.9921,3.9921,z=+0.00,OK,away_xera mean 3.992 vs baseline 3.992 (z=+0.00)
numeric_mean,home_whiff_pct_rank_mean,44.0000,58.2174,z=-0.54,OK,home_whiff_pct_rank mean 44.000 vs baseline 58.217 (z=-0.54)
numeric_mean,away_whiff_pct_rank_mean,45.2667,47.8261,z=-0.10,OK,away_whiff_pct_rank mean 45.267 vs baseline 47.826 (z=-0.10)
numeric_mean,home_top3c_obp_mean,0.3527,0.3478,z=+0.20,OK,home_top3c_obp mean 0.353 vs baseline 0.348 (z=+0.20)
numeric_mean,away_top3c_obp_mean,0.3430,0.3491,z=-0.24,OK,away_top3c_obp mean 0.343 vs baseline 0.349 (z=-0.24)
numeric_mean,home_top3c_iso_mean,0.1849,0.1756,z=+0.23,OK,home_top3c_iso mean 0.185 vs baseline 0.176 (z=+0.23)
numeric_mean,away_top3c_iso_mean,0.1659,0.1854,z=-0.36,OK,away_top3c_iso mean 0.166 vs baseline 0.185 (z=-0.36)
numeric_mean,home_p_last5_pitcher_nrfi_mean,0.7600,0.7024,z=+0.23,OK,home_p_last5_pitcher_nrfi mean 0.760 vs baseline 0.702 (z=+0.23)
numeric_mean,away_p_last5_pitcher_nrfi_mean,0.7533,0.7254,z=+0.13,OK,away_p_last5_pitcher_nrfi mean 0.753 vs baseline 0.725 (z=+0.13)
numeric_mean,home_p_last10_pitcher_nrfi_mean,0.7400,0.6909,z=+0.28,OK,home_p_last10_pitcher_nrfi mean 0.740 vs baseline 0.691 (z=+0.28)
numeric_mean,away_p_last10_pitcher_nrfi_mean,0.7311,0.7175,z=+0.08,OK,away_p_last10_pitcher_nrfi mean 0.731 vs baseline 0.718 (z=+0.08)
pick_cluster,max_cluster_size,3,-,-,MEDIUM,largest cluster of picks within 0.005 calibrated P(NRFI): 3 (>=4 = HIGH; >=3 = MEDIUM)
