category,metric,today,baseline,delta,severity,note
categorical,home_pitcher_q=live,0.6154,0.6771,-0.0617,OK,home_pitcher_q=live: today=61.5% baseline=67.7% shift=-6.2%
categorical,home_pitcher_q=ltd,0.3077,0.2396,+0.0681,OK,home_pitcher_q=ltd: today=30.8% baseline=24.0% shift=+6.8%
categorical,home_pitcher_q=sm,0.0769,0.0833,-0.0064,OK,home_pitcher_q=sm: today=7.7% baseline=8.3% shift=-0.6%
categorical,away_pitcher_q=avg,0.0000,0.0104,-0.0104,OK,away_pitcher_q=avg: today=0.0% baseline=1.0% shift=-1.0%
categorical,away_pitcher_q=live,0.6923,0.7812,-0.0889,OK,away_pitcher_q=live: today=69.2% baseline=78.1% shift=-8.9%
categorical,away_pitcher_q=ltd,0.2308,0.1771,+0.0537,OK,away_pitcher_q=ltd: today=23.1% baseline=17.7% shift=+5.4%
categorical,away_pitcher_q=sm,0.0769,0.0312,+0.0457,OK,away_pitcher_q=sm: today=7.7% baseline=3.1% shift=+4.6%
categorical,home_top3c_source=lineup,1.0000,1.0000,+0.0000,OK,home_top3c_source=lineup: today=100.0% baseline=100.0% shift=+0.0%
categorical,away_top3c_source=lineup,1.0000,1.0000,+0.0000,OK,away_top3c_source=lineup: today=100.0% baseline=100.0% shift=+0.0%
numeric_mean,home_xera_mean,4.1180,4.0531,z=+0.06,OK,home_xera mean 4.118 vs baseline 4.053 (z=+0.06)
numeric_mean,away_xera_mean,4.5390,4.0835,z=+0.49,OK,away_xera mean 4.539 vs baseline 4.084 (z=+0.49)
numeric_extreme,away_xera_extreme,2,3,-1,MEDIUM,"away_xera has 2/13 extreme values (outside [2.0, 7.0]); max=8.04"
numeric_mean,home_whiff_pct_rank_mean,62.1538,53.0417,z=+0.39,OK,home_whiff_pct_rank mean 62.154 vs baseline 53.042 (z=+0.39)
numeric_mean,away_whiff_pct_rank_mean,53.7692,52.6250,z=+0.04,OK,away_whiff_pct_rank mean 53.769 vs baseline 52.625 (z=+0.04)
numeric_mean,home_top3c_obp_mean,0.3453,0.3456,z=-0.02,OK,home_top3c_obp mean 0.345 vs baseline 0.346 (z=-0.02)
numeric_mean,away_top3c_obp_mean,0.3455,0.3468,z=-0.07,OK,away_top3c_obp mean 0.346 vs baseline 0.347 (z=-0.07)
numeric_mean,home_top3c_iso_mean,0.2049,0.1814,z=+0.63,OK,home_top3c_iso mean 0.205 vs baseline 0.181 (z=+0.63)
numeric_mean,away_top3c_iso_mean,0.1752,0.1949,z=-0.66,OK,away_top3c_iso mean 0.175 vs baseline 0.195 (z=-0.66)
numeric_mean,home_p_last5_pitcher_nrfi_mean,0.6538,0.7028,z=-0.19,OK,home_p_last5_pitcher_nrfi mean 0.654 vs baseline 0.703 (z=-0.19)
numeric_mean,away_p_last5_pitcher_nrfi_mean,0.7808,0.6733,z=+0.52,OK,away_p_last5_pitcher_nrfi mean 0.781 vs baseline 0.673 (z=+0.52)
numeric_mean,home_p_last10_pitcher_nrfi_mean,0.6601,0.6992,z=-0.19,OK,home_p_last10_pitcher_nrfi mean 0.660 vs baseline 0.699 (z=-0.19)
numeric_mean,away_p_last10_pitcher_nrfi_mean,0.7467,0.6775,z=+0.41,OK,away_p_last10_pitcher_nrfi mean 0.747 vs baseline 0.677 (z=+0.41)
numeric_mean,away_top3_ops_vs_oppHand_mean,0.7989,0.8169,z=-0.24,OK,away_top3_ops_vs_oppHand mean 0.799 vs baseline 0.817 (z=-0.24)
numeric_mean,home_top3_ops_vs_oppHand_mean,0.8289,0.8025,z=+0.40,OK,home_top3_ops_vs_oppHand mean 0.829 vs baseline 0.802 (z=+0.40)
default_rate,away_top3_ops_vs_oppHand_default_rate,0.0000,0.7200,0/13,OK,away_top3_ops_vs_oppHand defaulted to 0.72 in 0/13 rows (0%); heavy defaulting = predict pipeline failed
default_rate,home_top3_ops_vs_oppHand_default_rate,0.0000,0.7200,0/13,OK,home_top3_ops_vs_oppHand defaulted to 0.72 in 0/13 rows (0%); heavy defaulting = predict pipeline failed
pick_cluster,max_cluster_size,4,-,-,MEDIUM,largest cluster of picks within 0.005 calibrated P(NRFI): 4 (>=4 = MEDIUM; informational -- not predictive of pick quality)
