category,metric,today,baseline,delta,severity,note
categorical,home_pitcher_q=live,0.6154,0.6633,-0.0479,OK,home_pitcher_q=live: today=61.5% baseline=66.3% shift=-4.8%
categorical,home_pitcher_q=ltd,0.3077,0.2347,+0.0730,OK,home_pitcher_q=ltd: today=30.8% baseline=23.5% shift=+7.3%
categorical,home_pitcher_q=sm,0.0769,0.1020,-0.0251,OK,home_pitcher_q=sm: today=7.7% baseline=10.2% shift=-2.5%
categorical,away_pitcher_q=avg,0.0000,0.0102,-0.0102,OK,away_pitcher_q=avg: today=0.0% baseline=1.0% shift=-1.0%
categorical,away_pitcher_q=live,0.9231,0.7347,+0.1884,LOW,away_pitcher_q=live: today=92.3% baseline=73.5% shift=+18.8%
categorical,away_pitcher_q=ltd,0.0000,0.2143,-0.2143,MEDIUM,away_pitcher_q=ltd: today=0.0% baseline=21.4% shift=-21.4%
categorical,away_pitcher_q=sm,0.0769,0.0408,+0.0361,OK,away_pitcher_q=sm: today=7.7% baseline=4.1% shift=+3.6%
categorical,home_top3c_source=lineup,1.0000,0.9898,+0.0102,OK,home_top3c_source=lineup: today=100.0% baseline=99.0% shift=+1.0%
categorical,home_top3c_source=team_fallback,0.0000,0.0102,-0.0102,OK,home_top3c_source=team_fallback: today=0.0% baseline=1.0% shift=-1.0%
categorical,away_top3c_source=lineup,1.0000,0.9898,+0.0102,OK,away_top3c_source=lineup: today=100.0% baseline=99.0% shift=+1.0%
categorical,away_top3c_source=team_fallback,0.0000,0.0102,-0.0102,OK,away_top3c_source=team_fallback: today=0.0% baseline=1.0% shift=-1.0%
numeric_mean,home_xera_mean,3.6950,4.1747,z=-0.42,OK,home_xera mean 3.695 vs baseline 4.175 (z=-0.42)
numeric_mean,away_xera_mean,4.1111,3.9857,z=+0.12,OK,away_xera mean 4.111 vs baseline 3.986 (z=+0.12)
numeric_mean,home_whiff_pct_rank_mean,54.1538,52.4388,z=+0.07,OK,home_whiff_pct_rank mean 54.154 vs baseline 52.439 (z=+0.07)
numeric_mean,away_whiff_pct_rank_mean,38.4615,53.2347,z=-0.62,OK,away_whiff_pct_rank mean 38.462 vs baseline 53.235 (z=-0.62)
numeric_mean,home_top3c_obp_mean,0.3473,0.3458,z=+0.08,OK,home_top3c_obp mean 0.347 vs baseline 0.346 (z=+0.08)
numeric_mean,away_top3c_obp_mean,0.3435,0.3468,z=-0.19,OK,away_top3c_obp mean 0.344 vs baseline 0.347 (z=-0.19)
numeric_mean,home_top3c_iso_mean,0.1878,0.1747,z=+0.37,OK,home_top3c_iso mean 0.188 vs baseline 0.175 (z=+0.37)
numeric_mean,away_top3c_iso_mean,0.1845,0.1997,z=-0.45,OK,away_top3c_iso mean 0.184 vs baseline 0.200 (z=-0.45)
numeric_mean,home_p_last5_pitcher_nrfi_mean,0.6821,0.6867,z=-0.02,OK,home_p_last5_pitcher_nrfi mean 0.682 vs baseline 0.687 (z=-0.02)
numeric_mean,away_p_last5_pitcher_nrfi_mean,0.6410,0.6765,z=-0.15,OK,away_p_last5_pitcher_nrfi mean 0.641 vs baseline 0.677 (z=-0.15)
numeric_mean,home_p_last10_pitcher_nrfi_mean,0.7250,0.6924,z=+0.16,OK,home_p_last10_pitcher_nrfi mean 0.725 vs baseline 0.692 (z=+0.16)
numeric_mean,away_p_last10_pitcher_nrfi_mean,0.6575,0.6916,z=-0.18,OK,away_p_last10_pitcher_nrfi mean 0.658 vs baseline 0.692 (z=-0.18)
numeric_mean,away_top3_ops_vs_oppHand_mean,0.8301,0.8084,z=+0.30,OK,away_top3_ops_vs_oppHand mean 0.830 vs baseline 0.808 (z=+0.30)
numeric_mean,home_top3_ops_vs_oppHand_mean,0.7858,0.7990,z=-0.18,OK,home_top3_ops_vs_oppHand mean 0.786 vs baseline 0.799 (z=-0.18)
default_rate,away_top3_ops_vs_oppHand_default_rate,0.0000,0.7200,0/13,OK,away_top3_ops_vs_oppHand defaulted to 0.72 in 0/13 rows (0%); heavy defaulting = predict pipeline failed
default_rate,home_top3_ops_vs_oppHand_default_rate,0.0000,0.7200,0/13,OK,home_top3_ops_vs_oppHand defaulted to 0.72 in 0/13 rows (0%); heavy defaulting = predict pipeline failed
pick_cluster,max_cluster_size,4,-,-,MEDIUM,largest cluster of picks within 0.005 calibrated P(NRFI): 4 (>=4 = MEDIUM; informational -- not predictive of pick quality)
