category,metric,today,baseline,delta,severity,note
categorical,home_pitcher_q=avg,0.0000,0.0106,-0.0106,OK,home_pitcher_q=avg: today=0.0% baseline=1.1% shift=-1.1%
categorical,home_pitcher_q=live,0.9000,0.7766,+0.1234,LOW,home_pitcher_q=live: today=90.0% baseline=77.7% shift=+12.3%
categorical,home_pitcher_q=ltd,0.0000,0.1596,-0.1596,LOW,home_pitcher_q=ltd: today=0.0% baseline=16.0% shift=-16.0%
categorical,home_pitcher_q=sm,0.1000,0.0532,+0.0468,OK,home_pitcher_q=sm: today=10.0% baseline=5.3% shift=+4.7%
categorical,away_pitcher_q=live,0.5000,0.7234,-0.2234,MEDIUM,away_pitcher_q=live: today=50.0% baseline=72.3% shift=-22.3%
categorical,away_pitcher_q=ltd,0.4000,0.2447,+0.1553,LOW,away_pitcher_q=ltd: today=40.0% baseline=24.5% shift=+15.5%
categorical,away_pitcher_q=sm,0.1000,0.0319,+0.0681,OK,away_pitcher_q=sm: today=10.0% baseline=3.2% shift=+6.8%
categorical,home_top3c_source=lineup,1.0000,1.0000,+0.0000,OK,home_top3c_source=lineup: today=100.0% baseline=100.0% shift=+0.0%
categorical,away_top3c_source=lineup,1.0000,1.0000,+0.0000,OK,away_top3c_source=lineup: today=100.0% baseline=100.0% shift=+0.0%
numeric_mean,home_xera_mean,3.5030,4.1505,z=-0.72,OK,home_xera mean 3.503 vs baseline 4.151 (z=-0.72)
numeric_mean,away_xera_mean,4.4916,4.0718,z=+0.40,OK,away_xera mean 4.492 vs baseline 4.072 (z=+0.40)
numeric_mean,home_whiff_pct_rank_mean,53.2000,51.0000,z=+0.09,OK,home_whiff_pct_rank mean 53.200 vs baseline 51.000 (z=+0.09)
numeric_mean,away_whiff_pct_rank_mean,61.2000,51.8830,z=+0.39,OK,away_whiff_pct_rank mean 61.200 vs baseline 51.883 (z=+0.39)
numeric_mean,home_top3c_obp_mean,0.3406,0.3417,z=-0.07,OK,home_top3c_obp mean 0.341 vs baseline 0.342 (z=-0.07)
numeric_mean,away_top3c_obp_mean,0.3462,0.3439,z=+0.10,OK,away_top3c_obp mean 0.346 vs baseline 0.344 (z=+0.10)
numeric_mean,home_top3c_iso_mean,0.1655,0.1928,z=-0.88,OK,home_top3c_iso mean 0.166 vs baseline 0.193 (z=-0.88)
numeric_mean,away_top3c_iso_mean,0.1923,0.1740,z=+0.57,OK,away_top3c_iso mean 0.192 vs baseline 0.174 (z=+0.57)
numeric_mean,home_p_last5_pitcher_nrfi_mean,0.7867,0.7550,z=+0.16,OK,home_p_last5_pitcher_nrfi mean 0.787 vs baseline 0.755 (z=+0.16)
numeric_mean,away_p_last5_pitcher_nrfi_mean,0.7600,0.7154,z=+0.21,OK,away_p_last5_pitcher_nrfi mean 0.760 vs baseline 0.715 (z=+0.21)
numeric_mean,home_p_last10_pitcher_nrfi_mean,0.7067,0.7440,z=-0.26,OK,home_p_last10_pitcher_nrfi mean 0.707 vs baseline 0.744 (z=-0.26)
numeric_mean,away_p_last10_pitcher_nrfi_mean,0.7325,0.7017,z=+0.20,OK,away_p_last10_pitcher_nrfi mean 0.733 vs baseline 0.702 (z=+0.20)
numeric_mean,away_top3_ops_vs_oppHand_mean,0.8065,0.8040,z=+0.03,OK,away_top3_ops_vs_oppHand mean 0.806 vs baseline 0.804 (z=+0.03)
numeric_mean,home_top3_ops_vs_oppHand_mean,0.7803,0.8056,z=-0.40,OK,home_top3_ops_vs_oppHand mean 0.780 vs baseline 0.806 (z=-0.40)
default_rate,away_top3_ops_vs_oppHand_default_rate,0.0000,0.7200,0/10,OK,away_top3_ops_vs_oppHand defaulted to 0.72 in 0/10 rows (0%); heavy defaulting = predict pipeline failed
default_rate,home_top3_ops_vs_oppHand_default_rate,0.0000,0.7200,0/10,OK,home_top3_ops_vs_oppHand defaulted to 0.72 in 0/10 rows (0%); heavy defaulting = predict pipeline failed
pick_cluster,max_cluster_size,4,-,-,MEDIUM,largest cluster of picks within 0.005 calibrated P(NRFI): 4 (>=4 = MEDIUM; informational -- not predictive of pick quality)
